com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
cn.jasonone.ueditor:ueditor-spring-boot-starter;cn.jasonone.ueditor;ueditor-spring-boot-starter
io.gitee.cmmboy:mylibrary;io.gitee.cmmboy;mylibrary
com.qmuiteam:photo-glide;com.qmuiteam;photo-glide
com.qmuiteam:photo-coil;com.qmuiteam;photo-coil
com.qmuiteam:photo;com.qmuiteam;photo
com.qmuiteam:compose;com.qmuiteam;compose
com.qmuiteam:compose-core;com.qmuiteam;compose-core
io.github.flashvayne:mysql-mybatis-pagination;io.github.flashvayne;mysql-mybatis-pagination
io.github.forevermgg:QuantColor;io.github.forevermgg;QuantColor
top.zopx:square-distributed-common;top.zopx;square-distributed-common
br.com.anteros:anteros-mqtt-tools;br.com.anteros;anteros-mqtt-tools
br.com.anteros:anteros-mqtt-client-spring-boot-starter;br.com.anteros;anteros-mqtt-client-spring-boot-starter
br.com.anteros:anteros-mqtt-core;br.com.anteros;anteros-mqtt-core
uk.co.spicule:seleniumscripter;uk.co.spicule;seleniumscripter
dev.tobee:tbd-telegram-sdk;dev.tobee;tbd-telegram-sdk
org.webjars.npm:github-com-lipis-flag-icons;org.webjars.npm;github-com-lipis-flag-icons
com.evernote:android-job;com.evernote;android-job
com.fpliu.ndk.pkg.prefab.android.21:bzip2;com.fpliu.ndk.pkg.prefab.android.21;bzip2
org.webjars.npm:css-selector-tokenizer;org.webjars.npm;css-selector-tokenizer
io.github.allanmarques83:spring-dot-environments;io.github.allanmarques83;spring-dot-environments
org.webjars.npm:color-string;org.webjars.npm;color-string
io.github.michaelliv.lucene4k:lucene4k;io.github.michaelliv.lucene4k;lucene4k
org.sonatype.ossindex:ossindex-service-bom;org.sonatype.ossindex;ossindex-service-bom
org.sonatype.ossindex:ossindex-service;org.sonatype.ossindex;ossindex-service
org.sonatype.ossindex:ossindex-service-api;org.sonatype.ossindex;ossindex-service-api
org.sonatype.ossindex:ossindex-service-client;org.sonatype.ossindex;ossindex-service-client
org.babyfish.graphql.provider:graphql-provider-starter-dgs;org.babyfish.graphql.provider;graphql-provider-starter-dgs
org.babyfish.graphql.provider:graphql-provider;org.babyfish.graphql.provider;graphql-provider
com.ealva:musicinfo;com.ealva;musicinfo
com.github.kxbmap:sbt-jooq-core724599971;com.github.kxbmap;sbt-jooq-core
com.github.kxbmap:sbt-jooq-codegen724599971;com.github.kxbmap;sbt-jooq-codegen
com.github.kxbmap:sbt-jooq-codegen-tool;com.github.kxbmap;sbt-jooq-codegen-tool
com.github.kxbmap:sbt-jooq-checker724599971;com.github.kxbmap;sbt-jooq-checker
org.rundeck.cli-toolbelt:toolbelt-snakeyaml;org.rundeck.cli-toolbelt;toolbelt-snakeyaml
org.rundeck.cli-toolbelt:toolbelt-json-jackson;org.rundeck.cli-toolbelt;toolbelt-json-jackson
