com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.ui.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.ui.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.lifecycle.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.lifecycle.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.resourceimpact.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.resourceimpact.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.impactanalysis.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.impactanalysis.feature
org.wso2.carbon.governance:governance.gadgets-feature;org.wso2.carbon.governance;governance.gadgets-feature
org.wso2.carbon.governance:org.wso2.carbon.governance.notifications.configuration.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.notifications.configuration.feature
org.wso2.carbon.governance:governance.notification.configurations-feature;org.wso2.carbon.governance;governance.notification.configurations-feature
org.wso2.carbon.governance:org.wso2.carbon.governance.metadata.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.metadata.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.metadata.ui.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.metadata.ui.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.metadata.server.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.metadata.server.feature
org.wso2.carbon.governance:governance.metadata-feature;org.wso2.carbon.governance;governance.metadata-feature
org.wso2.carbon.governance:org.wso2.carbon.governance.lifecycle.management.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.lifecycle.management.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.lifecycle.management.ui.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.lifecycle.management.ui.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.lifecycle.management.server.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.lifecycle.management.server.feature
org.wso2.carbon.governance:governance.lifecycle.management-feature;org.wso2.carbon.governance;governance.lifecycle.management-feature
org.wso2.carbon.governance:org.wso2.carbon.registry.extensions.feature;org.wso2.carbon.governance;org.wso2.carbon.registry.extensions.feature
org.wso2.carbon.governance:org.wso2.carbon.registry.extensions.ui.feature;org.wso2.carbon.governance;org.wso2.carbon.registry.extensions.ui.feature
org.wso2.carbon.governance:org.wso2.carbon.registry.extensions.server.feature;org.wso2.carbon.governance;org.wso2.carbon.registry.extensions.server.feature
org.wso2.carbon.governance:extensions-feature;org.wso2.carbon.governance;extensions-feature
org.wso2.carbon.governance:org.wso2.carbon.discovery.proxy;org.wso2.carbon.governance;org.wso2.carbon.discovery.proxy
