com.ofcoder.klein:klein;com.ofcoder.klein;klein
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-watchossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-watchossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-watchosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-watchosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-watchosarm32;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-watchosarm32
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-wasm-js;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-wasm-js
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-tvosx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-tvosx64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-tvossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-tvossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-tvosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-tvosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-mingwx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-mingwx64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-macosx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-macosx64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-macosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-macosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-linuxx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-linuxx64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-linuxarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-linuxarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-jvm;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-jvm
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-js;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-js
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-iosx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-iosx64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-iossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-iossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-iosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-iosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-android;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-android
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-android-debug;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-android-debug
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-watchosx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-watchosx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-watchossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-watchossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-watchosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-watchosarm64
