org.activiti.cloud.rb:activiti-cloud-services-runtime-bundle;org.activiti.cloud.rb;activiti-cloud-services-runtime-bundle
org.activiti.cloud.rb:activiti-cloud-runtime-bundle-dependencies;org.activiti.cloud.rb;activiti-cloud-runtime-bundle-dependencies
org.activiti.cloud.rb:activiti-cloud-runtime-bundle-service-parent;org.activiti.cloud.rb;activiti-cloud-runtime-bundle-service-parent
org.activiti.cloud.modeling:activiti-cloud-acceptance-tests-modeling;org.activiti.cloud.modeling;activiti-cloud-acceptance-tests-modeling
org.activiti.cloud.modeling:activiti-cloud-starter-modeling;org.activiti.cloud.modeling;activiti-cloud-starter-modeling
org.activiti.cloud.modeling:activiti-cloud-services-modeling-rest;org.activiti.cloud.modeling;activiti-cloud-services-modeling-rest
org.activiti.cloud.modeling:activiti-cloud-services-modeling-service;org.activiti.cloud.modeling;activiti-cloud-services-modeling-service
org.activiti.cloud.modeling:activiti-cloud-services-modeling-api-impl;org.activiti.cloud.modeling;activiti-cloud-services-modeling-api-impl
org.activiti.cloud.modeling:activiti-cloud-services-modeling-jpa;org.activiti.cloud.modeling;activiti-cloud-services-modeling-jpa
org.activiti.cloud.modeling:activiti-cloud-services-modeling-repository;org.activiti.cloud.modeling;activiti-cloud-services-modeling-repository
org.activiti.cloud.modeling:activiti-cloud-services-modeling-core;org.activiti.cloud.modeling;activiti-cloud-services-modeling-core
org.activiti.cloud.modeling:activiti-cloud-services-modeling-api;org.activiti.cloud.modeling;activiti-cloud-services-modeling-api
org.activiti.cloud.modeling:activiti-cloud-services-modeling;org.activiti.cloud.modeling;activiti-cloud-services-modeling
org.activiti.cloud.modeling:activiti-cloud-modeling-dependencies;org.activiti.cloud.modeling;activiti-cloud-modeling-dependencies
org.activiti.cloud.modeling:activiti-cloud-modeling-service-parent;org.activiti.cloud.modeling;activiti-cloud-modeling-service-parent
pl.beone.promena.transformer:converter-libreoffice-configuration;pl.beone.promena.transformer;converter-libreoffice-configuration
pl.beone.promena.transformer:converter-libreoffice-root;pl.beone.promena.transformer;converter-libreoffice-root
pl.beone.promena.transformer:converter-libreoffice-example;pl.beone.promena.transformer;converter-libreoffice-example
pl.beone.promena.transformer:converter-libreoffice;pl.beone.promena.transformer;converter-libreoffice
pl.beone.promena.transformer:converter-libreoffice-application-model;pl.beone.promena.transformer;converter-libreoffice-application-model
org.activiti.cloud.acc:activiti-cloud-acceptance-tests-core;org.activiti.cloud.acc;activiti-cloud-acceptance-tests-core
org.activiti.cloud.acc:activiti-cloud-acceptance-tests-shared;org.activiti.cloud.acc;activiti-cloud-acceptance-tests-shared
org.activiti.cloud.acc:activiti-cloud-acceptance-tests-dependencies;org.activiti.cloud.acc;activiti-cloud-acceptance-tests-dependencies
org.activiti.cloud.acc:activiti-cloud-acceptance-tests-parent;org.activiti.cloud.acc;activiti-cloud-acceptance-tests-parent
org.activiti.cloud.common:activiti-cloud-service-error-handlers;org.activiti.cloud.common;activiti-cloud-service-error-handlers
org.activiti.cloud.common:activiti-cloud-services-swagger;org.activiti.cloud.common;activiti-cloud-services-swagger
org.activiti.cloud.common:activiti-cloud-service-common-config;org.activiti.cloud.common;activiti-cloud-service-common-config
org.activiti.cloud.common:activiti-cloud-services-common-security;org.activiti.cloud.common;activiti-cloud-services-common-security
org.activiti.cloud.common:activiti-cloud-services-auditable;org.activiti.cloud.common;activiti-cloud-services-auditable
org.activiti.cloud.common:activiti-cloud-services-common-security-keycloak;org.activiti.cloud.common;activiti-cloud-services-common-security-keycloak
org.activiti.cloud.common:activiti-cloud-services-rest-docs;org.activiti.cloud.common;activiti-cloud-services-rest-docs
org.activiti.cloud.common:activiti-cloud-services-dbp-rest;org.activiti.cloud.common;activiti-cloud-services-dbp-rest
org.activiti.cloud.common:activiti-cloud-services-metadata;org.activiti.cloud.common;activiti-cloud-services-metadata
org.activiti.cloud.common:activiti-cloud-services-logging;org.activiti.cloud.common;activiti-cloud-services-logging
org.activiti.cloud.common:activiti-cloud-services-tracing;org.activiti.cloud.common;activiti-cloud-services-tracing
org.activiti.cloud.common:activiti-cloud-services-monitoring;org.activiti.cloud.common;activiti-cloud-services-monitoring
org.activiti.cloud.common:activiti-cloud-services-test;org.activiti.cloud.common;activiti-cloud-services-test
org.activiti.cloud.common:activiti-cloud-services-test-security-keycloak;org.activiti.cloud.common;activiti-cloud-services-test-security-keycloak
org.activiti.cloud.common:activiti-cloud-services-commons-io;org.activiti.cloud.common;activiti-cloud-services-commons-io
org.activiti.cloud.common:activiti-cloud-services-common-identity-keycloak;org.activiti.cloud.common;activiti-cloud-services-common-identity-keycloak
org.activiti.cloud.common:activiti-cloud-service-common-dependencies;org.activiti.cloud.common;activiti-cloud-service-common-dependencies
org.activiti.cloud.common:activiti-cloud-service-common-parent;org.activiti.cloud.common;activiti-cloud-service-common-parent
org.activiti.cloud.api:activiti-cloud-api-events;org.activiti.cloud.api;activiti-cloud-api-events
org.activiti.cloud.api:activiti-cloud-api-task-model-impl;org.activiti.cloud.api;activiti-cloud-api-task-model-impl
org.activiti.cloud.api:activiti-cloud-api-task-model;org.activiti.cloud.api;activiti-cloud-api-task-model
org.activiti.cloud.api:activiti-cloud-api-process-model-impl;org.activiti.cloud.api;activiti-cloud-api-process-model-impl
org.activiti.cloud.api:activiti-cloud-api-process-model;org.activiti.cloud.api;activiti-cloud-api-process-model
org.activiti.cloud.api:activiti-cloud-api-model-shared-impl;org.activiti.cloud.api;activiti-cloud-api-model-shared-impl
org.activiti.cloud.api:activiti-cloud-api-model-shared;org.activiti.cloud.api;activiti-cloud-api-model-shared
org.activiti.cloud.api:activiti-cloud-api-dependencies;org.activiti.cloud.api;activiti-cloud-api-dependencies
org.activiti.cloud.api:activiti-cloud-api;org.activiti.cloud.api;activiti-cloud-api
org.activiti.cloud.build:activiti-cloud-dependencies-parent;org.activiti.cloud.build;activiti-cloud-dependencies-parent
org.activiti.cloud.build:activiti-cloud-parent;org.activiti.cloud.build;activiti-cloud-parent
org.activiti.examples:activiti-api-web-example;org.activiti.examples;activiti-api-web-example
org.activiti.examples:activiti-api-spring-integration-example;org.activiti.examples;activiti-api-spring-integration-example
org.activiti.examples:activiti-api-basic-task-example;org.activiti.examples;activiti-api-basic-task-example
org.activiti.examples:activiti-api-basic-process-example;org.activiti.examples;activiti-api-basic-process-example
org.activiti.examples:activiti-api-basic-connector-example;org.activiti.examples;activiti-api-basic-connector-example
org.activiti.examples:activiti-api-basic-full-example-nobean;org.activiti.examples;activiti-api-basic-full-example-nobean
org.activiti.examples:activiti-api-basic-full-example-bean;org.activiti.examples;activiti-api-basic-full-example-bean
org.activiti.examples:activiti-examples;org.activiti.examples;activiti-examples
org.activiti.dependencies:activiti-dependencies;org.activiti.dependencies;activiti-dependencies
org.activiti:activiti-spring-conformance-signals;org.activiti;activiti-spring-conformance-signals
org.activiti:activiti-spring-conformance-variables;org.activiti;activiti-spring-conformance-variables
org.activiti:activiti-spring-conformance-set5;org.activiti;activiti-spring-conformance-set5
org.activiti:activiti-spring-conformance-set4;org.activiti;activiti-spring-conformance-set4
org.activiti:activiti-spring-conformance-set3;org.activiti;activiti-spring-conformance-set3
org.activiti:activiti-spring-conformance-set2;org.activiti;activiti-spring-conformance-set2
org.activiti:activiti-spring-conformance-set1;org.activiti;activiti-spring-conformance-set1
org.activiti:activiti-spring-conformance-set0;org.activiti;activiti-spring-conformance-set0
org.activiti:activiti-spring-conformance-util;org.activiti;activiti-spring-conformance-util
org.activiti:activiti-spring-conformance-tests;org.activiti;activiti-spring-conformance-tests
org.activiti:activiti-spring-boot-starter;org.activiti;activiti-spring-boot-starter
org.activiti:activiti-spring-app-process;org.activiti;activiti-spring-app-process
org.activiti:activiti-json-converter;org.activiti;activiti-json-converter
org.activiti:activiti-image-generator;org.activiti;activiti-image-generator
org.activiti:activiti-api-task-runtime-impl;org.activiti;activiti-api-task-runtime-impl
org.activiti:activiti-api-task-model-impl;org.activiti;activiti-api-task-model-impl
org.activiti:activiti-api-process-runtime-impl;org.activiti;activiti-api-process-runtime-impl
org.activiti:activiti-spring-process-extensions;org.activiti;activiti-spring-process-extensions
org.activiti:activiti-spring-resource-loader;org.activiti;activiti-spring-resource-loader
org.activiti:activiti-api-process-model-impl;org.activiti;activiti-api-process-model-impl
org.activiti:activiti-spring;org.activiti;activiti-spring
org.activiti:activiti-api-runtime-shared-impl;org.activiti;activiti-api-runtime-shared-impl
org.activiti:activiti-engine;org.activiti;activiti-engine
org.activiti:activiti-bpmn-converter;org.activiti;activiti-bpmn-converter
org.activiti:activiti-bpmn-layout;org.activiti;activiti-bpmn-layout
org.activiti:activiti-process-validation;org.activiti;activiti-process-validation
org.activiti:activiti-bpmn-model;org.activiti;activiti-bpmn-model
org.activiti:activiti-api-model-shared-impl;org.activiti;activiti-api-model-shared-impl
org.activiti:activiti-api-impl;org.activiti;activiti-api-impl
org.activiti:activiti-core-dependencies;org.activiti;activiti-core-dependencies
org.activiti:activiti-core;org.activiti;activiti-core
org.activiti.core.common:activiti-common-util;org.activiti.core.common;activiti-common-util
org.activiti.core.common:activiti-spring-project;org.activiti.core.common;activiti-spring-project
org.activiti.core.common:activiti-project-model;org.activiti.core.common;activiti-project-model
org.activiti.core.common:activiti-core-test-local-runtime;org.activiti.core.common;activiti-core-test-local-runtime
org.activiti.core.common:activiti-core-test-assertions;org.activiti.core.common;activiti-core-test-assertions
org.activiti.core.common:activiti-core-test;org.activiti.core.common;activiti-core-test
org.activiti.core.common:activiti-spring-resource-finder;org.activiti.core.common;activiti-spring-resource-finder
org.activiti.core.common:activiti-spring-application;org.activiti.core.common;activiti-spring-application
org.activiti.core.common:activiti-spring-connector;org.activiti.core.common;activiti-spring-connector
org.activiti.core.common:activiti-connector-model;org.activiti.core.common;activiti-connector-model
org.activiti.core.common:activiti-spring-security-policies;org.activiti.core.common;activiti-spring-security-policies
org.activiti.core.common:activiti-spring-security;org.activiti.core.common;activiti-spring-security
org.activiti.core.common:activiti-spring-identity;org.activiti.core.common;activiti-spring-identity
org.activiti.core.common:activiti-core-common-dependencies;org.activiti.core.common;activiti-core-common-dependencies
org.activiti.core.common:activiti-core-common;org.activiti.core.common;activiti-core-common
org.activiti.api:activiti-api-task-runtime;org.activiti.api;activiti-api-task-runtime
org.activiti.api:activiti-api-task-model;org.activiti.api;activiti-api-task-model
org.activiti.api:activiti-api-process-runtime;org.activiti.api;activiti-api-process-runtime
org.activiti.api:activiti-api-process-model;org.activiti.api;activiti-api-process-model
org.activiti.api:activiti-api-runtime-shared;org.activiti.api;activiti-api-runtime-shared
org.activiti.api:activiti-api-model-shared;org.activiti.api;activiti-api-model-shared
org.activiti.api:activiti-api-dependencies;org.activiti.api;activiti-api-dependencies
org.activiti.api:activiti-api;org.activiti.api;activiti-api
org.activiti.build:activiti-dependency-check;org.activiti.build;activiti-dependency-check
org.activiti.build:activiti-parent;org.activiti.build;activiti-parent
io.mosip.kernel:kernel-tokenidgenerator-service;io.mosip.kernel;kernel-tokenidgenerator-service
io.mosip.kernel:kernel-licensekeymanager-service;io.mosip.kernel;kernel-licensekeymanager-service
io.mosip.kernel:kernel-keymanager-softhsm;io.mosip.kernel;kernel-keymanager-softhsm
io.mosip.kernel:kernel-applicanttype-service;io.mosip.kernel;kernel-applicanttype-service
io.mosip.kernel:kernel-emailnotification-service;io.mosip.kernel;kernel-emailnotification-service
io.mosip.kernel:kernel-uingenerator-service;io.mosip.kernel;kernel-uingenerator-service
io.mosip.kernel:kernel-vidgenerator-service;io.mosip.kernel;kernel-vidgenerator-service
io.mosip.kernel:kernel-cryptomanager-service;io.mosip.kernel;kernel-cryptomanager-service
io.mosip.kernel:kernel-signature-service;io.mosip.kernel;kernel-signature-service
com.weicoder:solr-extend;com.weicoder;solr-extend
com.weicoder:socket-extend;com.weicoder;socket-extend
com.weicoder:redis-extend;com.weicoder;redis-extend
com.weicoder:quartz-extend;com.weicoder;quartz-extend
com.weicoder:nacos-extend;com.weicoder;nacos-extend
com.weicoder:mongo-extend;com.weicoder;mongo-extend
