com.github.gfx.ribbonizer:plugin;com.github.gfx.ribbonizer;plugin
com.github.benhutchison:hoard_2.11;com.github.benhutchison;hoard_2.11
com.jalalkiswani:smart-eis-desktop;com.jalalkiswani;smart-eis-desktop
com.jalalkiswani:smart-eis-web;com.jalalkiswani;smart-eis-web
com.alanapi.tab:alanapi-tablayout;com.alanapi.tab;alanapi-tablayout
com.jalalkiswani:jk-app-metadata;com.jalalkiswani;jk-app-metadata
com.github.akileev:akka-serial-io_2.12;com.github.akileev;akka-serial-io_2.12
com.github.akileev:akka-serial-io_2.11;com.github.akileev;akka-serial-io_2.11
org.mixer2:mixer2-springmvc-archetype;org.mixer2;mixer2-springmvc-archetype
com.github.benhutchison:gesture_sjs0.6_2.11;com.github.benhutchison;gesture_sjs0.6_2.11
com.github.benhutchison:gesture_2.11;com.github.benhutchison;gesture_2.11
com.github.benhutchison:microjson_sjs0.6_2.12;com.github.benhutchison;microjson_sjs0.6_2.12
com.github.benhutchison:microjson_sjs0.6_2.11;com.github.benhutchison;microjson_sjs0.6_2.11
com.github.benhutchison:microjson_2.11;com.github.benhutchison;microjson_2.11
com.github.trevershick:ironmq-si;com.github.trevershick;ironmq-si
com.github.benhutchison:scalaswingcontrib_2.10;com.github.benhutchison;scalaswingcontrib_2.10
com.github.neysofu:tyche_2.12;com.github.neysofu;tyche_2.12
biz.gabrys.maven.plugins:lesscss-maven-plugin;biz.gabrys.maven.plugins;lesscss-maven-plugin
com.micahw:scala-bluetooth_2.11;com.micahw;scala-bluetooth_2.11
org.lucee:jdom;org.lucee;jdom
org.lucee:jdom2;org.lucee;jdom2
org.lucee:saxon-he;org.lucee;saxon-he
org.lucee:aspectj;org.lucee;aspectj
com.github.wheaties:twotails_2.11;com.github.wheaties;twotails_2.11
com.github.wheaties:twotails-annotations_2.11;com.github.wheaties;twotails-annotations_2.11
com.agilarity:osmo-sugar;com.agilarity;osmo-sugar
biz.gabrys.lesscss:compiler;biz.gabrys.lesscss;compiler
nl.dvberkel:tree.web;nl.dvberkel;tree.web
nl.dvberkel:tree.svg;nl.dvberkel;tree.svg
io.github.cloudify:spdf_2.12;io.github.cloudify;spdf_2.12
io.github.cloudify:spdf_2.11;io.github.cloudify;spdf_2.11
io.github.cloudify:spdf_2.10;io.github.cloudify;spdf_2.10
com.github.answerzdigital:mychehara;com.github.answerzdigital;mychehara
com.gilt:gfc-crypto_2.10;com.gilt;gfc-crypto_2.10
com.gilt:gfc-crypto_2.12;com.gilt;gfc-crypto_2.12
com.gilt:gfc-crypto_2.11;com.gilt;gfc-crypto_2.11
com.gilt:gfc-collection_2.10;com.gilt;gfc-collection_2.10
com.gilt:gfc-collection_2.12;com.gilt;gfc-collection_2.12
com.gilt:gfc-collection_2.11;com.gilt;gfc-collection_2.11
com.gilt:gfc-id_2.10;com.gilt;gfc-id_2.10
com.gilt:gfc-id_2.12;com.gilt;gfc-id_2.12
com.gilt:gfc-id_2.11;com.gilt;gfc-id_2.11
com.gilt:gfc-time_2.10;com.gilt;gfc-time_2.10
com.gilt:gfc-time_2.12;com.gilt;gfc-time_2.12
com.gilt:gfc-time_2.11;com.gilt;gfc-time_2.11
nl.dvberkel:tree.domain;nl.dvberkel;tree.domain
com.github.kokorin.jdbunit:jdbunit;com.github.kokorin.jdbunit;jdbunit
com.google.api.grpc:grpc-google-cloud-language-v1beta1;com.google.api.grpc;grpc-google-cloud-language-v1beta1
com.iih5:smart-netbox;com.iih5;smart-netbox
com.github.xuwei-k:httpz-all_2.10;com.github.xuwei-k;httpz-all_2.10
com.github.xuwei-k:httpz-all_2.11;com.github.xuwei-k;httpz-all_2.11
com.github.xuwei-k:httpz-all_2.12;com.github.xuwei-k;httpz-all_2.12
com.chocodev:chocolib;com.chocodev;chocolib
info.hupel:pide-2016-1-RC1_2.12;info.hupel;pide-2016-1-RC1_2.12
info.hupel:pide-2016-1-RC2_2.12;info.hupel;pide-2016-1-RC2_2.12
info.hupel:pide-2016-1-RC2_2.11;info.hupel;pide-2016-1-RC2_2.11
info.hupel:pide-2016-1-RC1_2.11;info.hupel;pide-2016-1-RC1_2.11
info.hupel:pide-2016-1-RC1_2.10;info.hupel;pide-2016-1-RC1_2.10
info.hupel:pide-2016-1-RC2_2.10;info.hupel;pide-2016-1-RC2_2.10
com.uber.sdk:rides;com.uber.sdk;rides
org.axonframework:axon-distributed-commandbus;org.axonframework;axon-distributed-commandbus
com.robrua:orianna;com.robrua;orianna
com.robrua:orianna-android;com.robrua;orianna-android
