org.neo4j:parent-central;org.neo4j;parent-central
org.glassfish.l10n:l10n-distribution;org.glassfish.l10n;l10n-distribution
org.graniteds:graniteds-docbook-xslt;org.graniteds;graniteds-docbook-xslt
org.graniteds:graniteds-jdocbook-style;org.graniteds;graniteds-jdocbook-style
org.testatoo.container:testatoo-container-jetty-full;org.testatoo.container;testatoo-container-jetty-full
org.xml-cml:euclid;org.xml-cml;euclid
dk.apaq.crud.jpa:crud-jpa;dk.apaq.crud.jpa;crud-jpa
net.stickycode.composite:sticky-composite-spring25;net.stickycode.composite;sticky-composite-spring25
org.openl.rules:org.openl.rules.webstudio.java;org.openl.rules;org.openl.rules.webstudio.java
org.fuzzydb:whirlwind-parent-aspectj;org.fuzzydb;whirlwind-parent-aspectj
org.fuzzydb:whirlwind-parent;org.fuzzydb;whirlwind-parent
de.sciss:soundprocesses_2.9.0-1;de.sciss;soundprocesses_2.9.0-1
com.cedarsoft.commons.history:ui;com.cedarsoft.commons.history;ui
org.codehaus.mojo:unix-maven-plugin;org.codehaus.mojo;unix-maven-plugin
org.codehaus.mojo.unix:unix-core;org.codehaus.mojo.unix;unix-core
org.codehaus.mojo.unix:unix-rpm;org.codehaus.mojo.unix;unix-rpm
org.codehaus.mojo.unix:unix-sysv-pkg;org.codehaus.mojo.unix;unix-sysv-pkg
org.codehaus.mojo.unix:unix-deb;org.codehaus.mojo.unix;unix-deb
org.codehaus.mojo.unix:unix-common;org.codehaus.mojo.unix;unix-common
org.codehaus.mojo.unix:unix-ar;org.codehaus.mojo.unix;unix-ar
org.codehaus.mojo.unix:unix;org.codehaus.mojo.unix;unix
de.sciss:scalacollider_2.9.0-1;de.sciss;scalacollider_2.9.0-1
de.sciss:scalaaudiofile_2.9.0-1;de.sciss;scalaaudiofile_2.9.0-1
de.sciss:scalaosc_2.8.1;de.sciss;scalaosc_2.8.1
de.sciss:scalaosc_2.9.0;de.sciss;scalaosc_2.9.0
de.sciss:scalaosc_2.9.0-1;de.sciss;scalaosc_2.9.0-1
com.googlecode.reflective:reflective_2.9.0-1;com.googlecode.reflective;reflective_2.9.0-1
net.sf.mgp:maven-unclasses-plugin;net.sf.mgp;maven-unclasses-plugin
org.objectledge.maven.connectors:eclipse-repository;org.objectledge.maven.connectors;eclipse-repository
org.objectledge.maven.connectors.coral:feature;org.objectledge.maven.connectors.coral;feature
org.objectledge.maven.connectors.coral:plugin;org.objectledge.maven.connectors.coral;plugin
org.objectledge.maven.connectors.coral:parent;org.objectledge.maven.connectors.coral;parent
org.objectledge.maven.connectors.ckpackager:feature;org.objectledge.maven.connectors.ckpackager;feature
org.objectledge.maven.connectors.ckpackager:plugin;org.objectledge.maven.connectors.ckpackager;plugin
org.objectledge.maven.connectors.ckpackager:parent;org.objectledge.maven.connectors.ckpackager;parent
org.objectledge.maven.connectors.jsc:feature;org.objectledge.maven.connectors.jsc;feature
org.objectledge.maven.connectors.jsc:plugin;org.objectledge.maven.connectors.jsc;plugin
org.objectledge.maven.connectors.jsc:parent;org.objectledge.maven.connectors.jsc;parent
org.objectledge.maven.connectors.scm:feature;org.objectledge.maven.connectors.scm;feature
org.objectledge.maven.connectors.scm:plugin;org.objectledge.maven.connectors.scm;plugin
org.objectledge.maven.connectors.scm:parent;org.objectledge.maven.connectors.scm;parent
org.objectledge.maven.connectors.jflex:feature;org.objectledge.maven.connectors.jflex;feature
org.objectledge.maven.connectors.jflex:plugin;org.objectledge.maven.connectors.jflex;plugin
org.objectledge.maven.connectors.jflex:parent;org.objectledge.maven.connectors.jflex;parent
org.objectledge.maven.connectors.javacc:feature;org.objectledge.maven.connectors.javacc;feature
org.objectledge.maven.connectors.javacc:plugin;org.objectledge.maven.connectors.javacc;plugin
org.objectledge.maven.connectors.javacc:parent;org.objectledge.maven.connectors.javacc;parent
org.objectledge.maven.connectors:parent;org.objectledge.maven.connectors;parent
org.objectledge.maven.connectors:target-platform;org.objectledge.maven.connectors;target-platform
org.objectledge.maven.plugins:ckpackager-maven-plugin;org.objectledge.maven.plugins;ckpackager-maven-plugin
org.objectledge.ckpackager:ckpackager-library;org.objectledge.ckpackager;ckpackager-library
org.objectledge.maven.plugins:jsc-maven-plugin;org.objectledge.maven.plugins;jsc-maven-plugin
org.objectledge.maven.plugins:parent;org.objectledge.maven.plugins;parent
org.objectledge.maven:parent;org.objectledge.maven;parent
net.javacrumbs:mock-socket-http;net.javacrumbs;mock-socket-http
net.javacrumbs:mock-socket-core;net.javacrumbs;mock-socket-core
net.javacrumbs:mock-socket-parent;net.javacrumbs;mock-socket-parent
nl.cloudfarming.client:crop-nl;nl.cloudfarming.client;crop-nl
com.googlecode.gbench:gbench;com.googlecode.gbench;gbench
com.eed3si9n:sbt-appengine_2.8.1;com.eed3si9n;sbt-appengine_2.8.1
com.eed3si9n:sbt-assembly_2.8.1;com.eed3si9n;sbt-assembly_2.8.1
com.github.philcali:sbt-cx-docco_2.8.1;com.github.philcali;sbt-cx-docco_2.8.1
net.databinder:pamflet-knockoff_2.9.0;net.databinder;pamflet-knockoff_2.9.0
net.databinder:pamflet-knockoff_2.7.7;net.databinder;pamflet-knockoff_2.7.7
net.databinder:pamflet-plugin_2.8.1;net.databinder;pamflet-plugin_2.8.1
org.kuali.rice:rice-master-db;org.kuali.rice;rice-master-db
de.felixschulze.android.test:JUnitInstrumentationTestRunner;de.felixschulze.android.test;JUnitInstrumentationTestRunner
org.xml-cml:euclid-testutil;org.xml-cml;euclid-testutil
org.glassfish.docs.help:manpages;org.glassfish.docs.help;manpages
org.glassfish.admingui:console-web-plugin-help;org.glassfish.admingui;console-web-plugin-help
org.glassfish.admingui:console-jts-plugin-help;org.glassfish.admingui;console-jts-plugin-help
