io.github.youngtaekh:android-util;io.github.youngtaekh;android-util
org.danbrough.kotlinxtras:opensslAndroidNativeX86Binaries;org.danbrough.kotlinxtras;opensslAndroidNativeX86Binaries
org.danbrough.kotlinxtras:opensslAndroidNativeX64Binaries;org.danbrough.kotlinxtras;opensslAndroidNativeX64Binaries
org.danbrough.kotlinxtras:opensslAndroidNativeArm64Binaries;org.danbrough.kotlinxtras;opensslAndroidNativeArm64Binaries
org.danbrough.kotlinxtras:opensslAndroidNativeArm32Binaries;org.danbrough.kotlinxtras;opensslAndroidNativeArm32Binaries
org.danbrough.kotlinxtras:curlLinuxX64Binaries;org.danbrough.kotlinxtras;curlLinuxX64Binaries
org.danbrough.kotlinxtras:curlLinuxArm64Binaries;org.danbrough.kotlinxtras;curlLinuxArm64Binaries
org.danbrough.kotlinxtras:curlMacosArm64Binaries;org.danbrough.kotlinxtras;curlMacosArm64Binaries
org.danbrough.kotlinxtras:curlMacosX64Binaries;org.danbrough.kotlinxtras;curlMacosX64Binaries
org.danbrough.kotlinxtras:opensslMacosX64Binaries;org.danbrough.kotlinxtras;opensslMacosX64Binaries
org.danbrough.kotlinxtras:opensslMacosArm64Binaries;org.danbrough.kotlinxtras;opensslMacosArm64Binaries
org.danbrough.kotlinxtras:curlLinuxArm32HfpBinaries;org.danbrough.kotlinxtras;curlLinuxArm32HfpBinaries
org.danbrough.kotlinxtras:curlAndroidNativeX86Binaries;org.danbrough.kotlinxtras;curlAndroidNativeX86Binaries
org.danbrough.kotlinxtras:curlAndroidNativeX64Binaries;org.danbrough.kotlinxtras;curlAndroidNativeX64Binaries
org.danbrough.kotlinxtras:curlAndroidNativeArm64Binaries;org.danbrough.kotlinxtras;curlAndroidNativeArm64Binaries
org.danbrough.kotlinxtras:curlAndroidNativeArm32Binaries;org.danbrough.kotlinxtras;curlAndroidNativeArm32Binaries
com.github.wpyuan:default-core;com.github.wpyuan;default-core
io.github.vitorsalgado.puma4j:puma4j-kotlin;io.github.vitorsalgado.puma4j;puma4j-kotlin
io.github.vitorsalgado.puma4j:puma4j-junit5-extension;io.github.vitorsalgado.puma4j;puma4j-junit5-extension
io.github.vitorsalgado.puma4j:puma4j-core;io.github.vitorsalgado.puma4j;puma4j-core
io.github.uharaqo:consistent-hashing-selector-java;io.github.uharaqo;consistent-hashing-selector-java
org.webjars.bowergithub.ionden:ion.rangeslider;org.webjars.bowergithub.ionden;ion.rangeslider
org.webjars.bowergithub.leongersen:nouislider;org.webjars.bowergithub.leongersen;nouislider
co.touchlab.crashkios:utils;co.touchlab.crashkios;utils
org.starchartlabs.machete:machete-ssm;org.starchartlabs.machete;machete-ssm
org.starchartlabs.machete:machete-sns;org.starchartlabs.machete;machete-sns
ch.epfl.scala:scalafix-reflect_2.13.9;ch.epfl.scala;scalafix-reflect_2.13.9
ch.epfl.scala:scalafix-testkit_2.13.9;ch.epfl.scala;scalafix-testkit_2.13.9
ch.epfl.scala:scalafix-cli_2.13.9;ch.epfl.scala;scalafix-cli_2.13.9
net.wiringbits:cats-effect-warts_2.13;net.wiringbits;cats-effect-warts_2.13
net.wiringbits:cats-effect2-warts_2.13;net.wiringbits;cats-effect2-warts_2.13
org.wso2.carbon.maven:carbon-feature-plugin;org.wso2.carbon.maven;carbon-feature-plugin
org.wso2.carbon.maven:carbon-maven-plugins;org.wso2.carbon.maven;carbon-maven-plugins
org.wso2:wso2;org.wso2;wso2
net.auoeke:lusr;net.auoeke;lusr
io.pivotal.services.dataTx:gemfire-extensions-spring-security;io.pivotal.services.dataTx;gemfire-extensions-spring-security
io.github.neo4s:neo4s-query-support_2.12;io.github.neo4s;neo4s-query-support_2.12
io.github.neo4s:neo4s-query-support_2.13;io.github.neo4s;neo4s-query-support_2.13
com.nmgolden:golden-spring-boot-starter-parent;com.nmgolden;golden-spring-boot-starter-parent
com.kfaraj.support:appcompat;com.kfaraj.support;appcompat
com.zachklipp.compose-undo:statehistory;com.zachklipp.compose-undo;statehistory
io.github.tomdw.java.modules.spring:integration-tests-spring-boot;io.github.tomdw.java.modules.spring;integration-tests-spring-boot
io.github.tomdw.java.modules.spring:integration-tests;io.github.tomdw.java.modules.spring;integration-tests
io.github.tomdw.java.modules.spring:samples;io.github.tomdw.java.modules.spring;samples
io.github.tomdw.java.modules.spring.samples.basicapplication:application;io.github.tomdw.java.modules.spring.samples.basicapplication;application
io.github.tomdw.java.modules.spring.samples.basicapplication:speaker;io.github.tomdw.java.modules.spring.samples.basicapplication;speaker
io.github.tomdw.java.modules.spring.samples.basicapplication:basic-application;io.github.tomdw.java.modules.spring.samples.basicapplication;basic-application
io.github.tomdw.java.modules.spring:java-modules-context-boot-starter;io.github.tomdw.java.modules.spring;java-modules-context-boot-starter
io.github.tomdw.java.modules.spring:java-modules-context-boot;io.github.tomdw.java.modules.spring;java-modules-context-boot
io.github.tomdw.java.modules.spring:java-modules-context-boot-build;io.github.tomdw.java.modules.spring;java-modules-context-boot-build
xyz.erupt:erupt-elasticsearch;xyz.erupt;erupt-elasticsearch
io.github.XibalbaM:AxiumAPI;io.github.XibalbaM;AxiumAPI
io.openliberty.features:io.openliberty.webBundle.internal.servlet-5.0;io.openliberty.features;io.openliberty.webBundle.internal.servlet-5.0
io.openliberty.features:io.openliberty.webBundle.internal.servlet-4.0;io.openliberty.features;io.openliberty.webBundle.internal.servlet-4.0
io.openliberty.features:io.openliberty.webBundle.internal.servlet-3.1;io.openliberty.features;io.openliberty.webBundle.internal.servlet-3.1
tech.mlsql:delta-plus-3.3_2.12;tech.mlsql;delta-plus-3.3_2.12
net.csdn:serviceframework-jetty-9-server_2.12;net.csdn;serviceframework-jetty-9-server_2.12
net.csdn:serviceframework-mongo_2.12;net.csdn;serviceframework-mongo_2.12
net.csdn:serviceframework-dispatcher_2.12;net.csdn;serviceframework-dispatcher_2.12
net.csdn:serviceframework-web_2.12;net.csdn;serviceframework-web_2.12
net.csdn:serviceframework-common_2.12;net.csdn;serviceframework-common_2.12
net.csdn:serviceframework-orm_2.12;net.csdn;serviceframework-orm_2.12
net.csdn:ServiceFramework_2.12;net.csdn;ServiceFramework_2.12
com.scrtwpns:mixbox;com.scrtwpns;mixbox
com.intershop.gradle.buildinfo:buildinfo-gradle-plugin;com.intershop.gradle.buildinfo;buildinfo-gradle-plugin
com.nmgolden.appbox:app-starter;com.nmgolden.appbox;app-starter
org.scoverage:scalac-scoverage-plugin_2.12.8;org.scoverage;scalac-scoverage-plugin_2.12.8
org.scoverage:scalac-scoverage-plugin_2.12.9;org.scoverage;scalac-scoverage-plugin_2.12.9
io.github.jayanthjj:gradle-arithmetic;io.github.jayanthjj;gradle-arithmetic
com.nmgolden.appbox:usercenter-sdk;com.nmgolden.appbox;usercenter-sdk
pl.iterators:kebs-opaque_2.12;pl.iterators;kebs-opaque_2.12
com.nmgolden:commons;com.nmgolden;commons
net.dreamlu:mica-mqtt-core;net.dreamlu;mica-mqtt-core
net.dreamlu:mica-mqtt-model;net.dreamlu;mica-mqtt-model
org.finos.springbot.tools:reminder-bot;org.finos.springbot.tools;reminder-bot
io.gitlab.mateuszjaje:jira4s-sttp-jdk_2.13;io.gitlab.mateuszjaje;jira4s-sttp-jdk_2.13
io.gitlab.mateuszjaje:jira4s-sttp-zio_3;io.gitlab.mateuszjaje;jira4s-sttp-zio_3
io.gitlab.mateuszjaje:jira4s-core_2.13;io.gitlab.mateuszjaje;jira4s-core_2.13
io.gitlab.mateuszjaje:jira4s-core_3;io.gitlab.mateuszjaje;jira4s-core_3
io.gitlab.mateuszjaje:jira4s-sttp-jdk_3;io.gitlab.mateuszjaje;jira4s-sttp-jdk_3
io.gitlab.mateuszjaje:jira4s-sttp-zio1_3;io.gitlab.mateuszjaje;jira4s-sttp-zio1_3
io.gitlab.mateuszjaje:jira4s-sttp-zio_2.13;io.gitlab.mateuszjaje;jira4s-sttp-zio_2.13
io.gitlab.mateuszjaje:jira4s-sttp-zio1_2.13;io.gitlab.mateuszjaje;jira4s-sttp-zio1_2.13
cn.iguodou:gopath-maven-plugin;cn.iguodou;gopath-maven-plugin
io.bitcoinsv.headerSV:headersv-rest-client;io.bitcoinsv.headerSV;headersv-rest-client
io.bitcoinsv.headerSV:headersv-rest;io.bitcoinsv.headerSV;headersv-rest
io.bitcoinsv.headerSV:headersv-core;io.bitcoinsv.headerSV;headersv-core
io.bitcoinsv.headerSV:headersv-app;io.bitcoinsv.headerSV;headersv-app
cn.iguodou:mimeka-core;cn.iguodou;mimeka-core
org.webjars.bower:moment;org.webjars.bower;moment
cn.iguodou:manifest-maven-plugin;cn.iguodou;manifest-maven-plugin
net.dreamlu:tio-webpack-core;net.dreamlu;tio-webpack-core
net.dreamlu:tio-webpack-parent;net.dreamlu;tio-webpack-parent
net.dreamlu:tio-websocket-client;net.dreamlu;tio-websocket-client
net.dreamlu:tio-websocket-server;net.dreamlu;tio-websocket-server
net.dreamlu:tio-websocket-common;net.dreamlu;tio-websocket-common
net.dreamlu:tio-websocket-parent;net.dreamlu;tio-websocket-parent
net.dreamlu:tio-http-server;net.dreamlu;tio-http-server
net.dreamlu:tio-http-common;net.dreamlu;tio-http-common
net.dreamlu:tio-http-parent;net.dreamlu;tio-http-parent
net.dreamlu:tio-zoo-parent;net.dreamlu;tio-zoo-parent
net.dreamlu:tio-flash-policy-server;net.dreamlu;tio-flash-policy-server
net.dreamlu:tio-core;net.dreamlu;tio-core
net.dreamlu:tio-utils;net.dreamlu;tio-utils
net.dreamlu:tio-parent;net.dreamlu;tio-parent
org.eclipse.steady:lang-python;org.eclipse.steady;lang-python
org.eclipse.steady:lang-java-reach;org.eclipse.steady;lang-java-reach
org.eclipse.steady:lang-java-reach-wala;org.eclipse.steady;lang-java-reach-wala
org.eclipse.steady:cli-scanner;org.eclipse.steady;cli-scanner
org.eclipse.steady:plugin-gradle;org.eclipse.steady;plugin-gradle
org.eclipse.steady:shared;org.eclipse.steady;shared
org.eclipse.steady:lang-java;org.eclipse.steady;lang-java
org.eclipse.steady:plugin-maven;org.eclipse.steady;plugin-maven
org.eclipse.steady:lang;org.eclipse.steady;lang
org.eclipse.steady:lang-java-reach-soot;org.eclipse.steady;lang-java-reach-soot
io.github.pramod-khalkar:java-ds;io.github.pramod-khalkar;java-ds
io.githunb.renxh4:mock;io.githunb.renxh4;mock
org.webjars.npm:stimulus;org.webjars.npm;stimulus
org.anyline:anyline-jdbc-timescaledb;org.anyline;anyline-jdbc-timescaledb
io.github.romansavka-mq:suppress-undocumented-dokka-plugin;io.github.romansavka-mq;suppress-undocumented-dokka-plugin
org.kurento.module:crowddetector;org.kurento.module;crowddetector
org.kurento.module:markerdetector;org.kurento.module;markerdetector
org.kurento.module:platedetector;org.kurento.module;platedetector
org.kurento.module:pointerdetector;org.kurento.module;pointerdetector
com.io7m.claypot:com.io7m.claypot.tests;com.io7m.claypot;com.io7m.claypot.tests
com.io7m.claypot:com.io7m.claypot.core;com.io7m.claypot;com.io7m.claypot.core
com.io7m.claypot:com.io7m.claypot;com.io7m.claypot;com.io7m.claypot
com.io7m.claypot:com.io7m.claypot.example;com.io7m.claypot;com.io7m.claypot.example
com.github.ekryd.sortgraphql:sortgraphql-maven-plugin;com.github.ekryd.sortgraphql;sortgraphql-maven-plugin
com.github.ekryd.sortgraphql:sortgraphql-sorter;com.github.ekryd.sortgraphql;sortgraphql-sorter
com.github.ekryd.sortgraphql:sortgraphql-parent;com.github.ekryd.sortgraphql;sortgraphql-parent
io.github.mikhail-petrov.supertal-test:supertal-test;io.github.mikhail-petrov.supertal-test;supertal-test
io.github.jayanthjj:arithmetic;io.github.jayanthjj;arithmetic
io.github.ulfs:assertj-jsoup;io.github.ulfs;assertj-jsoup
io.github.liewhite:web3_3;io.github.liewhite;web3_3
io.gitee.dongjeremy:agenor-core;io.gitee.dongjeremy;agenor-core
io.gitee.dongjeremy:agenor-libs;io.gitee.dongjeremy;agenor-libs
io.gitee.dongjeremy:agenor-common;io.gitee.dongjeremy;agenor-common
io.gitee.dongjeremy:agenor;io.gitee.dongjeremy;agenor
com.consoliads:pollfish-mediation;com.consoliads;pollfish-mediation
io.github.clistery:kotlin-realm-ext;io.github.clistery;kotlin-realm-ext
org.querqy:opensearch-querqy;org.querqy;opensearch-querqy
xyz.opcal.xena:opcal-xena-spring-boot-starter;xyz.opcal.xena;opcal-xena-spring-boot-starter
xyz.opcal.xena:opcal-xena-spring-autoconfigure;xyz.opcal.xena;opcal-xena-spring-autoconfigure
xyz.opcal.xena:opcal-xena-core-spring;xyz.opcal.xena;opcal-xena-core-spring
xyz.opcal.xena:opcal-xena-core-cdi;xyz.opcal.xena;opcal-xena-core-cdi
xyz.opcal.xena:opcal-xena-core;xyz.opcal.xena;opcal-xena-core
xyz.opcal.xena:opcal-xena-parent;xyz.opcal.xena;opcal-xena-parent
xyz.opcal.xena:opcal-xena-dependencies;xyz.opcal.xena;opcal-xena-dependencies
xyz.opcal.xena:opcal-xena;xyz.opcal.xena;opcal-xena
org.swisspush:super-machine;org.swisspush;super-machine
org.webjars.npm:vaadin__app-layout;org.webjars.npm;vaadin__app-layout
tech.msop:ms-core-test;tech.msop;ms-core-test
io.gitee.dongjeremy:agenor-api;io.gitee.dongjeremy;agenor-api
org.brightify.hyperdrive:plugin-impl-native;org.brightify.hyperdrive;plugin-impl-native
io.github.EdaySoftGame:MobileAdsLibrary;io.github.EdaySoftGame;MobileAdsLibrary
io.github.xtyuns:TTEA4j;io.github.xtyuns;TTEA4j
io.clogr:clogr-slf4j1-adapter;io.clogr;clogr-slf4j1-adapter
io.github.createsequence:crane-spring-boot-starter;io.github.createsequence;crane-spring-boot-starter
io.github.createsequence:crane-jackson-implement;io.github.createsequence;crane-jackson-implement
io.github.createsequence:crane-core;io.github.createsequence;crane-core
io.github.createsequence:crane;io.github.createsequence;crane
io.github.neo4s:neo4s-cypher-dsl_2.12;io.github.neo4s;neo4s-cypher-dsl_2.12
io.github.neo4s:neo4s-cypher-dsl_2.13;io.github.neo4s;neo4s-cypher-dsl_2.13
ca.vanzyl.concord.ck8s:ck8s-plugin;ca.vanzyl.concord.ck8s;ck8s-plugin
ca.vanzyl.concord.ck8s:ck8s-its;ca.vanzyl.concord.ck8s;ck8s-its
ca.vanzyl.concord.ck8s:ck8s-server;ca.vanzyl.concord.ck8s;ck8s-server
ca.vanzyl.concord.ck8s:ck8s-client;ca.vanzyl.concord.ck8s;ck8s-client
ca.vanzyl.concord.ck8s:ck8s-model;ca.vanzyl.concord.ck8s;ck8s-model
ca.vanzyl.concord.ck8s:ck8s-common;ca.vanzyl.concord.ck8s;ck8s-common
org.wildfly.core:wildfly-elytron-integration-jakarta;org.wildfly.core;wildfly-elytron-integration-jakarta
ca.vanzyl.concord.ck8s:ck8s;ca.vanzyl.concord.ck8s;ck8s
rocks.cleancode:hamcrest-record;rocks.cleancode;hamcrest-record
org.availlang:avail-storage;org.availlang;avail-storage
org.polyvariant:better-tostring_3.2.1-RC2;org.polyvariant;better-tostring_3.2.1-RC2
org.polyvariant:better-tostring_2.13.9;org.polyvariant;better-tostring_2.13.9
org.wildfly:wildfly-naming-client-jakarta;org.wildfly;wildfly-naming-client-jakarta
org.wildfly:wildfly-naming-client-parent;org.wildfly;wildfly-naming-client-parent
org.wildfly.wildfly-http-client:wildfly-http-ejb-client-jakarta;org.wildfly.wildfly-http-client;wildfly-http-ejb-client-jakarta
org.wildfly.wildfly-http-client:wildfly-http-transaction-client-jakarta;org.wildfly.wildfly-http-client;wildfly-http-transaction-client-jakarta
org.wildfly.wildfly-http-client:wildfly-http-client-common-jakarta;org.wildfly.wildfly-http-client;wildfly-http-client-common-jakarta
org.webjars.bowergithub.heelhook:chardin.js;org.webjars.bowergithub.heelhook;chardin.js
org.webjars.bower:chardin.js;org.webjars.bower;chardin.js
com.intsoftdev:versioncatalog;com.intsoftdev;versioncatalog
com.daasyyds.presto:daasyyds-hudi-connector-patch;com.daasyyds.presto;daasyyds-hudi-connector-patch
com.daasyyds.presto:daasyyds-hive-connector-patch;com.daasyyds.presto;daasyyds-hive-connector-patch
com.daasyyds.presto:presto-ext;com.daasyyds.presto;presto-ext
io.github.vashishthask:tcpcache;io.github.vashishthask;tcpcache
org.webjars.npm:focus-lock;org.webjars.npm;focus-lock
io.github.k7t3:DynamicTableView;io.github.k7t3;DynamicTableView
io.github.poa1024:masked-logs;io.github.poa1024;masked-logs
io.github.mschout:mail-srs-java;io.github.mschout;mail-srs-java
io.github.kazemcodes:core-android;io.github.kazemcodes;core-android
com.yandex.ydb:ydb-sdk-jdbc-uberjar;com.yandex.ydb;ydb-sdk-jdbc-uberjar
com.yandex.ydb:ydb-sdk-jdbc;com.yandex.ydb;ydb-sdk-jdbc
com.yandex.ydb:ydb-sdk-auth-iam;com.yandex.ydb;ydb-sdk-auth-iam
com.yandex.ydb:ydb-sdk-table;com.yandex.ydb;ydb-sdk-table
com.yandex.ydb:ydb-sdk-proto;com.yandex.ydb;ydb-sdk-proto
com.yandex.ydb:ydb-sdk-core;com.yandex.ydb;ydb-sdk-core
com.yandex.ydb:ydb-sdk-parent;com.yandex.ydb;ydb-sdk-parent
ga.overfullstack:vador;ga.overfullstack;vador
ga.overfullstack:vador-matchers;ga.overfullstack;vador-matchers
io.github.icemachined:kafka-client-macosx64;io.github.icemachined;kafka-client-macosx64
io.github.icemachined:kafka-client-mingwx64;io.github.icemachined;kafka-client-mingwx64
io.github.icemachined:kafka-client-linuxx64;io.github.icemachined;kafka-client-linuxx64
io.github.icemachined:kafka-client;io.github.icemachined;kafka-client
top.rizon:r-tools;top.rizon;r-tools
io.github.mihaita-tinta:webauthn-spring-boot-starter-jpa;io.github.mihaita-tinta;webauthn-spring-boot-starter-jpa
com.eportfolium.karuta:karuta-fileserver;com.eportfolium.karuta;karuta-fileserver
com.aliyun:aliyun-java-sdk-netana;com.aliyun;aliyun-java-sdk-netana
io.github.mrjiangdong:FastLogPlugin;io.github.mrjiangdong;FastLogPlugin
io.github.palex65:CanvasLib-js;io.github.palex65;CanvasLib-js
io.github.archangelx360:notary-api-kotlin-client;io.github.archangelx360;notary-api-kotlin-client
io.github.palex65:CanvasLib-native;io.github.palex65;CanvasLib-native
io.github.palex65:CanvasLib;io.github.palex65;CanvasLib
io.github.sijuestg:pool;io.github.sijuestg;pool
com.yodo1.suit.pay:4399anti;com.yodo1.suit.pay;4399anti
io.tapir-test:tapir-extensions;io.tapir-test;tapir-extensions
io.tapir-test:tapir-extensions-featuregen;io.tapir-test;tapir-extensions-featuregen
io.tapir-test:tapir-extensions-featuregen-test-base;io.tapir-test;tapir-extensions-featuregen-test-base
io.tapir-test:tapir-extensions-feature-ide;io.tapir-test;tapir-extensions-feature-ide
io.tapir-test:tapir-extensions-archetype;io.tapir-test;tapir-extensions-archetype
io.tapir-test:tapir-extensions-junit5-execution;io.tapir-test;tapir-extensions-junit5-execution
io.tapir-test:tapir-extensions-junit5;io.tapir-test;tapir-extensions-junit5
io.tapir-test:tapir-extensions-execution-gui;io.tapir-test;tapir-extensions-execution-gui
io.tapir-test:tapir-extensions-reporting-excel;io.tapir-test;tapir-extensions-reporting-excel
io.tapir-test:tapir-extensions-reporting-base;io.tapir-test;tapir-extensions-reporting-base
io.tapir-test:tapir-extensions-datasource-excel;io.tapir-test;tapir-extensions-datasource-excel
io.tapir-test:tapir-extensions-allure2;io.tapir-test;tapir-extensions-allure2
io.tapir-test:tapir-extensions-parent;io.tapir-test;tapir-extensions-parent
io.tapir-test:tapir-extensions-dependencies;io.tapir-test;tapir-extensions-dependencies
com.github.chhorz:javadoc-parser-documentation;com.github.chhorz;javadoc-parser-documentation
com.github.chhorz:javadoc-parser-parent;com.github.chhorz;javadoc-parser-parent
com.github.chhorz:javadoc-parser;com.github.chhorz;javadoc-parser
io.github.linzy8888:my-mongo;io.github.linzy8888;my-mongo
com.adamratzman:spotify-api-kotlin-tvosarm64;com.adamratzman;spotify-api-kotlin-tvosarm64
com.adamratzman:spotify-api-kotlin-tvosx64;com.adamratzman;spotify-api-kotlin-tvosx64
io.github.clistery:appinject;io.github.clistery;appinject
de.bmiag.tapir:tapir;de.bmiag.tapir;tapir
de.bmiag.tapir:tapir-datasource-aggregator;de.bmiag.tapir;tapir-datasource-aggregator
de.bmiag.tapir:tapir-datasource-csv;de.bmiag.tapir;tapir-datasource-csv
de.bmiag.tapir:tapir-datasource-resource;de.bmiag.tapir;tapir-datasource-resource
de.bmiag.tapir:tapir-datasource-api;de.bmiag.tapir;tapir-datasource-api
de.bmiag.tapir:tapir-extensions-aggregator;de.bmiag.tapir;tapir-extensions-aggregator
de.bmiag.tapir:tapir-variant;de.bmiag.tapir;tapir-variant
de.bmiag.tapir:tapir-configuration;de.bmiag.tapir;tapir-configuration
com.adobe.aem:ui.frontend;com.adobe.aem;ui.frontend
de.bmiag.tapir:tapir-conditional;de.bmiag.tapir;tapir-conditional
de.bmiag.tapir:tapir-starter-aggregator;de.bmiag.tapir;tapir-starter-aggregator
de.bmiag.tapir:tapir-starter-selenium-allure;de.bmiag.tapir;tapir-starter-selenium-allure
de.bmiag.tapir:tapir-starter-selenium-execution;de.bmiag.tapir;tapir-starter-selenium-execution
de.bmiag.tapir:tapir-starter-selenium;de.bmiag.tapir;tapir-starter-selenium
de.bmiag.tapir:tapir-starter-module;de.bmiag.tapir;tapir-starter-module
de.bmiag.tapir:tapir-launch-and-report-aggregator;de.bmiag.tapir;tapir-launch-and-report-aggregator
de.bmiag.tapir:tapir-cli;de.bmiag.tapir;tapir-cli
de.bmiag.tapir:tapir-junit;de.bmiag.tapir;tapir-junit
de.bmiag.tapir:tapir-allure;de.bmiag.tapir;tapir-allure
de.bmiag.tapir:tapir-core-aggregator;de.bmiag.tapir;tapir-core-aggregator
de.bmiag.tapir:tapir-xunit;de.bmiag.tapir;tapir-xunit
de.bmiag.tapir:tapir-ui-aggregator;de.bmiag.tapir;tapir-ui-aggregator
de.bmiag.tapir:tapir-pages-aggregator;de.bmiag.tapir;tapir-pages-aggregator
de.bmiag.tapir:tapir-executiontest-lib;de.bmiag.tapir;tapir-executiontest-lib
de.bmiag.tapir:tapir-page-execution;de.bmiag.tapir;tapir-page-execution
de.bmiag.tapir:tapir-selenium-aggregator;de.bmiag.tapir;tapir-selenium-aggregator
de.bmiag.tapir:tapir-selenium-ie;de.bmiag.tapir;tapir-selenium-ie
de.bmiag.tapir:tapir-selenium-execution;de.bmiag.tapir;tapir-selenium-execution
de.bmiag.tapir:tapir-javafx;de.bmiag.tapir;tapir-javafx
de.bmiag.tapir:tapir-html-basic-aggregator;de.bmiag.tapir;tapir-html-basic-aggregator
de.bmiag.tapir:tapir-junit-execution;de.bmiag.tapir;tapir-junit-execution
de.bmiag.tapir:tapir-execution;de.bmiag.tapir;tapir-execution
de.bmiag.tapir:tapir-selenium-chrome;de.bmiag.tapir;tapir-selenium-chrome
de.bmiag.tapir:tapir-selenium-firefox;de.bmiag.tapir;tapir-selenium-firefox
de.bmiag.tapir:tapir-selenium-htmlunit;de.bmiag.tapir;tapir-selenium-htmlunit
de.bmiag.tapir:tapir-html-basic-impl;de.bmiag.tapir;tapir-html-basic-impl
de.bmiag.tapir:tapir-core-assertion;de.bmiag.tapir;tapir-core-assertion
de.bmiag.tapir:tapir-assertion;de.bmiag.tapir;tapir-assertion
de.bmiag.tapir:tapir-selenium;de.bmiag.tapir;tapir-selenium
de.bmiag.tapir:tapir-page;de.bmiag.tapir;tapir-page
de.bmiag.tapir:tapir-util;de.bmiag.tapir;tapir-util
de.bmiag.tapir:tapir-core;de.bmiag.tapir;tapir-core
de.bmiag.tapir:tapir-test;de.bmiag.tapir;tapir-test
de.bmiag.tapir:tapir-data;de.bmiag.tapir;tapir-data
de.bmiag.tapir:tapir-annotations;de.bmiag.tapir;tapir-annotations
de.bmiag.tapir:tapir-html-basic-api;de.bmiag.tapir;tapir-html-basic-api
de.bmiag.tapir:tapir-bootstrap;de.bmiag.tapir;tapir-bootstrap
de.bmiag.tapir:tapir-annotation-processing;de.bmiag.tapir;tapir-annotation-processing
de.bmiag.tapir:tapir-ui-api;de.bmiag.tapir;tapir-ui-api
de.bmiag.tapir:tapir-archetypes-aggregator;de.bmiag.tapir;tapir-archetypes-aggregator
de.bmiag.tapir:tapir-bootstrap-archetype;de.bmiag.tapir;tapir-bootstrap-archetype
de.bmiag.tapir:tapir-module-archetype;de.bmiag.tapir;tapir-module-archetype
de.bmiag.tapir:tapir-parent;de.bmiag.tapir;tapir-parent
de.bmiag.tapir:tapir-dependencies;de.bmiag.tapir;tapir-dependencies
net.wushilin:envawareproperties;net.wushilin;envawareproperties
com.github.a-langer:shiro-ext;com.github.a-langer;shiro-ext
com.bytedanceapi:ttvideoengine-debugtool;com.bytedanceapi;ttvideoengine-debugtool
com.typesafe.akka:akka-persistence-dynamodb_2.13;com.typesafe.akka;akka-persistence-dynamodb_2.13
com.typesafe.akka:akka-persistence-dynamodb_2.12;com.typesafe.akka;akka-persistence-dynamodb_2.12
com.aliyun:assettech_non_quotations20220228;com.aliyun;assettech_non_quotations20220228
io.github.1351360552:edaysoftTestDemo;io.github.1351360552;edaysoftTestDemo
cn.yongfenggz.sdk:YongfenggzSDKJava;cn.yongfenggz.sdk;YongfenggzSDKJava
org.webjars.npm:vaadin__vaadin-icons;org.webjars.npm;vaadin__vaadin-icons
org.webjars.npm:vaadin__icons;org.webjars.npm;vaadin__icons
org.webjars.npm:vaadin__vaadin-button;org.webjars.npm;vaadin__vaadin-button
com.yodo1.suit.pay:online-meizu;com.yodo1.suit.pay;online-meizu
io.github.GameDevTurbo:max-adapter-core;io.github.GameDevTurbo;max-adapter-core
pl.setblack:airomem-core;pl.setblack;airomem-core
com.github.liuyueyi.media:photo-plugin;com.github.liuyueyi.media;photo-plugin
com.github.liuyueyi.media:imagic-plugin;com.github.liuyueyi.media;imagic-plugin
com.github.liuyueyi.media:phantom-plugin;com.github.liuyueyi.media;phantom-plugin
com.github.liuyueyi.media:date-plugin;com.github.liuyueyi.media;date-plugin
com.github.liuyueyi.media:audio-plugin;com.github.liuyueyi.media;audio-plugin
com.github.liuyueyi.media:markdown-plugin;com.github.liuyueyi.media;markdown-plugin
com.github.liuyueyi.media:svg-core;com.github.liuyueyi.media;svg-core
com.github.liuyueyi.media:batik-codec-fix;com.github.liuyueyi.media;batik-codec-fix
com.github.liuyueyi.media:svg-plugin;com.github.liuyueyi.media;svg-plugin
com.github.liuyueyi.media:image-plugin;com.github.liuyueyi.media;image-plugin
com.github.liuyueyi.media:base-plugin;com.github.liuyueyi.media;base-plugin
org.webjars.npm:vaadin__router;org.webjars.npm;vaadin__router
com.github.lightbatis:lightbatis-web;com.github.lightbatis;lightbatis-web
com.github.lightbatis:lightbatis-samples;com.github.lightbatis;lightbatis-samples
com.github.lightbatis:lightbatis-master;com.github.lightbatis;lightbatis-master
com.github.lightbatis:lightbatis-pagelisthelper;com.github.lightbatis;lightbatis-pagelisthelper
com.github.lightbatis:lightbatis-jsvisual;com.github.lightbatis;lightbatis-jsvisual
com.github.lightbatis:lightbatis-common;com.github.lightbatis;lightbatis-common
com.github.lightbatis:lightbatis-core;com.github.lightbatis;lightbatis-core
io.github.nibnait:comparison-core;io.github.nibnait;comparison-core
io.github.maybe4u:ubug;io.github.maybe4u;ubug
io.github.palex65:CanvasLib-jvm;io.github.palex65;CanvasLib-jvm
com.globalmentor:globalmentor-web;com.globalmentor;globalmentor-web
com.globalmentor:globalmentor-mathml-spec;com.globalmentor;globalmentor-mathml-spec
com.globalmentor:globalmentor-xml-spec;com.globalmentor;globalmentor-xml-spec
com.globalmentor:globalmentor-rdfa-spec;com.globalmentor;globalmentor-rdfa-spec
