org.ceylon-lang:ceylon.transaction;org.ceylon-lang;ceylon.transaction
org.ceylon-lang:ceylon.time;org.ceylon-lang;ceylon.time
org.ceylon-lang:ceylon.decimal;org.ceylon-lang;ceylon.decimal
org.ceylon-lang:ceylon.whole;org.ceylon-lang;ceylon.whole
org.ceylon-lang:ceylon.buffer;org.ceylon-lang;ceylon.buffer
org.ceylon-lang:ceylon.collection;org.ceylon-lang;ceylon.collection
org.ceylon-lang:ceylon-system;org.ceylon-lang;ceylon-system
org.ceylon-lang:ceylon-complete;org.ceylon-lang;ceylon-complete
org.ceylon-lang:ceylon-all;org.ceylon-lang;ceylon-all
org.ceylon-lang:com.redhat.ceylon.tools;org.ceylon-lang;com.redhat.ceylon.tools
org.ceylon-lang:com.redhat.ceylon.java.main;org.ceylon-lang;com.redhat.ceylon.java.main
org.ceylon-lang:ceylon.bootstrap;org.ceylon-lang;ceylon.bootstrap
org.ceylon-lang:ceylon.runtime;org.ceylon-lang;ceylon.runtime
org.ceylon-lang:com.redhat.ceylon.tool.provider;org.ceylon-lang;com.redhat.ceylon.tool.provider
org.ceylon-lang:com.redhat.ceylon.module-loader;org.ceylon-lang;com.redhat.ceylon.module-loader
org.eclipse.dirigible.releng:allinone;org.eclipse.dirigible.releng;allinone
org.ceylon-lang:com.redhat.ceylon.compiler.js;org.ceylon-lang;com.redhat.ceylon.compiler.js
org.ceylon-lang:com.redhat.ceylon.compiler.java;org.ceylon-lang;com.redhat.ceylon.compiler.java
org.ceylon-lang:com.redhat.ceylon.typechecker;org.ceylon-lang;com.redhat.ceylon.typechecker
org.ceylon-lang:com.redhat.ceylon.cli;org.ceylon-lang;com.redhat.ceylon.cli
org.ceylon-lang:com.redhat.ceylon.module-resolver;org.ceylon-lang;com.redhat.ceylon.module-resolver
org.ceylon-lang:com.redhat.ceylon.module-resolver-webdav;org.ceylon-lang;com.redhat.ceylon.module-resolver-webdav
org.ceylon-lang:com.redhat.ceylon.module-resolver-javascript;org.ceylon-lang;com.redhat.ceylon.module-resolver-javascript
org.ceylon-lang:com.redhat.ceylon.module-resolver-aether;org.ceylon-lang;com.redhat.ceylon.module-resolver-aether
org.ceylon-lang:com.redhat.ceylon.aether;org.ceylon-lang;com.redhat.ceylon.aether
org.ceylon-lang:ceylon.language;org.ceylon-lang;ceylon.language
org.ceylon-lang:com.redhat.ceylon.model;org.ceylon-lang;com.redhat.ceylon.model
org.ceylon-lang:com.redhat.ceylon.langtools.classfile;org.ceylon-lang;com.redhat.ceylon.langtools.classfile
org.ceylon-lang:com.redhat.ceylon.common;org.ceylon-lang;com.redhat.ceylon.common
org.ceylon-lang:ceylon-parent;org.ceylon-lang;ceylon-parent
com.youbenzi:MD2File;com.youbenzi;MD2File
com.sudoplay.sudoxt:sudoxt;com.sudoplay.sudoxt;sudoxt
org.webjars.bower:github-com-butterflyhug-rickshaw;org.webjars.bower;github-com-butterflyhug-rickshaw
io.github.crabzilla:crabzilla-vavr-example1-core;io.github.crabzilla;crabzilla-vavr-example1-core
io.github.crabzilla:crabzilla-kotlin-example1-core;io.github.crabzilla;crabzilla-kotlin-example1-core
io.github.crabzilla:crabzilla-example1-core;io.github.crabzilla;crabzilla-example1-core
io.github.crabzilla:crabzilla-example1-database;io.github.crabzilla;crabzilla-example1-database
io.github.crabzilla:crabzilla-vavr-example1-database;io.github.crabzilla;crabzilla-vavr-example1-database
io.github.crabzilla:crabzilla-example1;io.github.crabzilla;crabzilla-example1
io.github.crabzilla:crabzilla-vertx;io.github.crabzilla;crabzilla-vertx
io.github.crabzilla:crabzilla-vavr-example1;io.github.crabzilla;crabzilla-vavr-example1
io.github.crabzilla:crabzilla-core;io.github.crabzilla;crabzilla-core
io.github.crabzilla:crabzilla-kotlin-example1-database;io.github.crabzilla;crabzilla-kotlin-example1-database
io.github.crabzilla:crabzilla;io.github.crabzilla;crabzilla
io.github.crabzilla:crabzilla-kotlin-example1;io.github.crabzilla;crabzilla-kotlin-example1
io.github.crabzilla:crabzilla-vavr-example1-service;io.github.crabzilla;crabzilla-vavr-example1-service
io.github.crabzilla:crabzilla-example1-service;io.github.crabzilla;crabzilla-example1-service
io.github.crabzilla:crabzilla-kotlin-example1-service;io.github.crabzilla;crabzilla-kotlin-example1-service
com.boxfish:boxfish-commons-web-model;com.boxfish;boxfish-commons-web-model
com.github.mboogerd:mmap-api_2.12;com.github.mboogerd;mmap-api_2.12
