com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
edu.internet2.middleware.psp:psp-example-ldap-to-grouper;edu.internet2.middleware.psp;psp-example-ldap-to-grouper
edu.internet2.middleware.psp:psp-example-grouper-to-tivoli;edu.internet2.middleware.psp;psp-example-grouper-to-tivoli
edu.internet2.middleware.psp:psp-example-grouper-to-openldap-multiple;edu.internet2.middleware.psp;psp-example-grouper-to-openldap-multiple
edu.internet2.middleware.psp:psp-example-grouper-to-openldap-memberof-overlay;edu.internet2.middleware.psp;psp-example-grouper-to-openldap-memberof-overlay
edu.internet2.middleware.psp:psp-example-grouper-to-openldap;edu.internet2.middleware.psp;psp-example-grouper-to-openldap
edu.internet2.middleware.psp:psp-example-grouper-to-ldap;edu.internet2.middleware.psp;psp-example-grouper-to-ldap
edu.internet2.middleware.psp:psp-example-grouper-to-active-directory;edu.internet2.middleware.psp;psp-example-grouper-to-active-directory
edu.internet2.middleware.psp:psp-grouper-source;edu.internet2.middleware.psp;psp-grouper-source
edu.internet2.middleware.psp:psp-grouper-ldap;edu.internet2.middleware.psp;psp-grouper-ldap
edu.internet2.middleware.psp:psp-grouper-target;edu.internet2.middleware.psp;psp-grouper-target
edu.internet2.middleware.psp:psp-grouper-changelog;edu.internet2.middleware.psp;psp-grouper-changelog
edu.internet2.middleware.psp:psp-ldap-target;edu.internet2.middleware.psp;psp-ldap-target
edu.internet2.middleware.psp:psp;edu.internet2.middleware.psp;psp
edu.internet2.middleware.psp:psp-parent;edu.internet2.middleware.psp;psp-parent
com.hacklanta:lift-mandrill_2.11;com.hacklanta;lift-mandrill_2.11
com.hacklanta:lift-mandrill_2.10;com.hacklanta;lift-mandrill_2.10
org.apache.shindig:shindig-server-dependencies;org.apache.shindig;shindig-server-dependencies
org.apache.shindig:shindig-server-resources;org.apache.shindig;shindig-server-resources
org.apache.shindig:sample-maven-archetype;org.apache.shindig;sample-maven-archetype
org.apache.shindig:shindig-sample-container;org.apache.shindig;shindig-sample-container
ca.weblite:mirah-ant-task;ca.weblite;mirah-ant-task
ca.weblite:maven-mirah-plugin;ca.weblite;maven-mirah-plugin
ca.weblite:mirah-compiler-tools;ca.weblite;mirah-compiler-tools
org.apache.maven.shared:maven-repository-builder;org.apache.maven.shared;maven-repository-builder
br.uff.sti:jersey-mvc-jasper;br.uff.sti;jersey-mvc-jasper
np.com.ngopal:javafx-autocomplete-field;np.com.ngopal;javafx-autocomplete-field
io.jvelo:jdbi-postgres-uuid;io.jvelo;jdbi-postgres-uuid
org.rhq.metrics.netty:netty-collectd;org.rhq.metrics.netty;netty-collectd
org.apache.aries.blueprint:org.apache.aries.blueprint.authz;org.apache.aries.blueprint;org.apache.aries.blueprint.authz
com.qmetric:spark-metrics;com.qmetric;spark-metrics
it.sephiroth.android.library:pagerslidingtabstrip;it.sephiroth.android.library;pagerslidingtabstrip
org.webjars:angular-ui-date;org.webjars;angular-ui-date
com.bardframework:bard-example;com.bardframework;bard-example
org.jooby:jooby-tests;org.jooby;jooby-tests
eu.socialsensor:socialsensor-query-builder;eu.socialsensor;socialsensor-query-builder
eu.socialsensor:sentiment-analysis;eu.socialsensor;sentiment-analysis
de.choffmeister:sbt-macosxapp-1555225206;de.choffmeister;sbt-macosxapp
de.choffmeister:sbt-jars-1555225206;de.choffmeister;sbt-jars
io.rudin.cdi.slf4j:slf4j-cdi;io.rudin.cdi.slf4j;slf4j-cdi
io.rudin.cdi:cdi-eager;io.rudin.cdi;cdi-eager
net.onedaybeard.artemis:artemis-odb-matrix;net.onedaybeard.artemis;artemis-odb-matrix
org.scalanlp:epic-parser-fr-span_2.10;org.scalanlp;epic-parser-fr-span_2.10
org.scalanlp:epic-parser-fr-span_2.11;org.scalanlp;epic-parser-fr-span_2.11
