com.w2v4:vertx-lang-clojure-parent;com.w2v4;vertx-lang-clojure-parent
de.xn--ho-hia.maven.boms:maven-boms-wikitext;de.xn--ho-hia.maven.boms;maven-boms-wikitext
de.xn--ho-hia.maven.boms:maven-boms-karaf;de.xn--ho-hia.maven.boms;maven-boms-karaf
de.xn--ho-hia.maven.boms:maven-boms-database;de.xn--ho-hia.maven.boms;maven-boms-database
de.xn--ho-hia.maven.parents:maven-parents;de.xn--ho-hia.maven.parents;maven-parents
de.xn--ho-hia.maven.boms:maven-boms-xml;de.xn--ho-hia.maven.boms;maven-boms-xml
de.xn--ho-hia.maven.boms:maven-boms-pax;de.xn--ho-hia.maven.boms;maven-boms-pax
de.frozenice:iso6093;de.frozenice;iso6093
st.extreme:fractions;st.extreme;fractions
com.daodecode:scalax-collection_2.11;com.daodecode;scalax-collection_2.11
org.apache.edgent.android:edgent-utils-streamscope;org.apache.edgent.android;edgent-utils-streamscope
org.apache.edgent.android:edgent-utils-metrics;org.apache.edgent.android;edgent-utils-metrics
org.apache.edgent.android:edgent-utils;org.apache.edgent.android;edgent-utils
org.apache.edgent.android:edgent-providers-iot;org.apache.edgent.android;edgent-providers-iot
org.apache.edgent.android:edgent-providers-direct;org.apache.edgent.android;edgent-providers-direct
org.apache.edgent.android:edgent-providers;org.apache.edgent.android;edgent-providers
org.apache.edgent.android:edgent-runtime-jsoncontrol;org.apache.edgent.android;edgent-runtime-jsoncontrol
org.apache.edgent.android:edgent-runtime-etiao;org.apache.edgent.android;edgent-runtime-etiao
org.apache.edgent.android:edgent-runtime-appservice;org.apache.edgent.android;edgent-runtime-appservice
org.apache.edgent.android:edgent-spi-graph;org.apache.edgent.android;edgent-spi-graph
org.mapsforge:mapsforge-map-android-extras;org.mapsforge;mapsforge-map-android-extras
org.apache.edgent.android:edgent-spi-topology;org.apache.edgent.android;edgent-spi-topology
org.apache.edgent.android:edgent-spi;org.apache.edgent.android;edgent-spi
org.apache.edgent.android:edgent-connectors-websocket-server;org.apache.edgent.android;edgent-connectors-websocket-server
org.apache.edgent.android:edgent-connectors-websocket-jetty;org.apache.edgent.android;edgent-connectors-websocket-jetty
org.apache.edgent.android:edgent-connectors-websocket;org.apache.edgent.android;edgent-connectors-websocket
org.apache.edgent.android:edgent-connectors-websocket-base;org.apache.edgent.android;edgent-connectors-websocket-base
org.apache.edgent.android:edgent-connectors-websocket-misc;org.apache.edgent.android;edgent-connectors-websocket-misc
org.apache.edgent.android:edgent-connectors-serial;org.apache.edgent.android;edgent-connectors-serial
org.apache.edgent.android:edgent-connectors-mqtt;org.apache.edgent.android;edgent-connectors-mqtt
org.apache.edgent.android:edgent-connectors-kafka;org.apache.edgent.android;edgent-connectors-kafka
org.apache.edgent.android:edgent-connectors-jdbc;org.apache.edgent.android;edgent-connectors-jdbc
org.apache.edgent.android:edgent-connectors-iotp;org.apache.edgent.android;edgent-connectors-iotp
org.apache.edgent.android:edgent-connectors-http;org.apache.edgent.android;edgent-connectors-http
org.apache.edgent.android:edgent-connectors-file;org.apache.edgent.android;edgent-connectors-file
org.apache.edgent.android:edgent-connectors-csv;org.apache.edgent.android;edgent-connectors-csv
org.apache.edgent.android:edgent-connectors-command;org.apache.edgent.android;edgent-connectors-command
org.apache.edgent.android:edgent-connectors-common;org.apache.edgent.android;edgent-connectors-common
org.apache.edgent.android:edgent-apps-runtime;org.apache.edgent.android;edgent-apps-runtime
org.apache.edgent.android:edgent-runtime-jobregistry;org.apache.edgent.android;edgent-runtime-jobregistry
org.apache.edgent.android:edgent-runtime;org.apache.edgent.android;edgent-runtime
org.apache.edgent.android:edgent-apps-iot;org.apache.edgent.android;edgent-apps-iot
org.apache.edgent.android:edgent-apps;org.apache.edgent.android;edgent-apps
org.apache.edgent.android:edgent-connectors-pubsub;org.apache.edgent.android;edgent-connectors-pubsub
org.apache.edgent.android:edgent-connectors-iot;org.apache.edgent.android;edgent-connectors-iot
org.apache.edgent.android:edgent-connectors;org.apache.edgent.android;edgent-connectors
org.apache.edgent.android:edgent-analytics-sensors;org.apache.edgent.android;edgent-analytics-sensors
org.apache.edgent.android:edgent-analytics-math3;org.apache.edgent.android;edgent-analytics-math3
org.apache.edgent.android:edgent-analytics;org.apache.edgent.android;edgent-analytics
org.apache.edgent.android:edgent-android-topology;org.apache.edgent.android;edgent-android-topology
org.apache.edgent.android:edgent-android-hardware;org.apache.edgent.android;edgent-android-hardware
org.apache.edgent.android:edgent-android;org.apache.edgent.android;edgent-android
org.apache.edgent.android:edgent-api-topology;org.apache.edgent.android;edgent-api-topology
org.apache.edgent.android:edgent-api-graph;org.apache.edgent.android;edgent-api-graph
org.apache.edgent.android:edgent-api-oplet;org.apache.edgent.android;edgent-api-oplet
org.apache.edgent.android:edgent-api-window;org.apache.edgent.android;edgent-api-window
org.apache.edgent.android:edgent-api-execution;org.apache.edgent.android;edgent-api-execution
org.apache.edgent.android:edgent-api-function;org.apache.edgent.android;edgent-api-function
org.apache.edgent.android:edgent-api;org.apache.edgent.android;edgent-api
org.apache.edgent.android:edgent-platforms-android;org.apache.edgent.android;edgent-platforms-android
org.apache.edgent.java7:edgent-test-svt;org.apache.edgent.java7;edgent-test-svt
org.apache.edgent.java7:edgent-test-fvtiot;org.apache.edgent.java7;edgent-test-fvtiot
org.apache.edgent.java7:edgent-providers-iot;org.apache.edgent.java7;edgent-providers-iot
org.apache.edgent.java7:edgent-providers-development;org.apache.edgent.java7;edgent-providers-development
org.apache.edgent.java7:edgent-console-server;org.apache.edgent.java7;edgent-console-server
org.apache.edgent.java7:edgent-console-servlets;org.apache.edgent.java7;edgent-console-servlets
org.apache.edgent.java7:edgent-console;org.apache.edgent.java7;edgent-console
org.apache.edgent.java7:edgent-utils-streamscope;org.apache.edgent.java7;edgent-utils-streamscope
org.apache.edgent.java7:edgent-connectors-websocket-server;org.apache.edgent.java7;edgent-connectors-websocket-server
org.apache.edgent.java7:edgent-connectors-websocket;org.apache.edgent.java7;edgent-connectors-websocket
org.apache.edgent.java7:edgent-connectors-websocket-jetty;org.apache.edgent.java7;edgent-connectors-websocket-jetty
org.apache.edgent.java7:edgent-connectors-websocket-base;org.apache.edgent.java7;edgent-connectors-websocket-base
