net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
tools.aqua:stars-logic-kcmftbl;tools.aqua;stars-logic-kcmftbl
tools.aqua:stars-importer-carla;tools.aqua;stars-importer-carla
tools.aqua:stars-data-av;tools.aqua;stars-data-av
tools.aqua:stars-core;tools.aqua;stars-core
org.eclipse.edc:auth-basic;org.eclipse.edc;auth-basic
com.yandex.android:authsdk;com.yandex.android;authsdk
com.cardpay:java-sdk;com.cardpay;java-sdk
org.mmbase:mmbase-cms;org.mmbase;mmbase-cms
com.diffusiondata.diffusion:diffusion-api;com.diffusiondata.diffusion;diffusion-api
com.diffusiondata.diffusion:diffusion-api-examples;com.diffusiondata.diffusion;diffusion-api-examples
org.webjars.npm:types__sortablejs;org.webjars.npm;types__sortablejs
io.github.lyxnx:mono-bom;io.github.lyxnx;mono-bom
org.webjars.npm:github-com-dlemaignent-event-calendar-compiled;org.webjars.npm;github-com-dlemaignent-event-calendar-compiled
org.dominokit:domino-rest;org.dominokit;domino-rest
org.dominokit:domino-rest-jvm;org.dominokit;domino-rest-jvm
org.dominokit:domino-rest-processor;org.dominokit;domino-rest-processor
org.dominokit:domino-rest-test;org.dominokit;domino-rest-test
org.dominokit:domino-rest-shared;org.dominokit;domino-rest-shared
org.dominokit:domino-rest-jaxrs;org.dominokit;domino-rest-jaxrs
org.dominokit:domino-rest-client;org.dominokit;domino-rest-client
za.co.absa.enceladus:examples;za.co.absa.enceladus;examples
win.doyto:doyto-query-jdbc;win.doyto;doyto-query-jdbc
win.doyto:doyto-query-dialect;win.doyto;doyto-query-dialect
win.doyto:doyto-query-web;win.doyto;doyto-query-web
win.doyto:doyto-query-web-common;win.doyto;doyto-query-web-common
win.doyto:doyto-query-sql;win.doyto;doyto-query-sql
win.doyto:doyto-query-common;win.doyto;doyto-query-common
win.doyto:doyto-query-test;win.doyto;doyto-query-test
win.doyto:doyto-query-api;win.doyto;doyto-query-api
win.doyto:doyto-query-geo;win.doyto;doyto-query-geo
org.webjars.npm:xterm__addon-image;org.webjars.npm;xterm__addon-image
org.webjars.npm:xterm__addon-web-links;org.webjars.npm;xterm__addon-web-links
org.danbrough.klog:slf4j;org.danbrough.klog;slf4j
org.danbrough.klog:oshai-watchosx64;org.danbrough.klog;oshai-watchosx64
org.danbrough.klog:oshai-watchosarm64;org.danbrough.klog;oshai-watchosarm64
org.danbrough.klog:oshai-tvosx64;org.danbrough.klog;oshai-tvosx64
org.danbrough.klog:oshai-tvosarm64;org.danbrough.klog;oshai-tvosarm64
org.danbrough.klog:oshai-mingwx64;org.danbrough.klog;oshai-mingwx64
org.danbrough.klog:oshai-macosx64;org.danbrough.klog;oshai-macosx64
org.danbrough.klog:oshai-macosarm64;org.danbrough.klog;oshai-macosarm64
org.danbrough.klog:oshai-linuxx64;org.danbrough.klog;oshai-linuxx64
org.danbrough.klog:oshai-linuxarm64;org.danbrough.klog;oshai-linuxarm64
org.danbrough.klog:oshai;org.danbrough.klog;oshai
org.danbrough.klog:oshai-jvm;org.danbrough.klog;oshai-jvm
org.danbrough.klog:oshai-iosx64;org.danbrough.klog;oshai-iosx64
org.danbrough.klog:oshai-iosarm64;org.danbrough.klog;oshai-iosarm64
org.danbrough.klog:oshai-android;org.danbrough.klog;oshai-android
org.danbrough.klog:oshai-androidnativex64;org.danbrough.klog;oshai-androidnativex64
org.danbrough.klog:oshai-androidnativearm64;org.danbrough.klog;oshai-androidnativearm64
org.danbrough.klog:oshai-androidnativearm32;org.danbrough.klog;oshai-androidnativearm32
org.danbrough.klog:core-watchosx64;org.danbrough.klog;core-watchosx64
org.danbrough.klog:core-watchosarm64;org.danbrough.klog;core-watchosarm64
org.danbrough.klog:core-wasm-js;org.danbrough.klog;core-wasm-js
org.danbrough.klog:core-tvosx64;org.danbrough.klog;core-tvosx64
org.danbrough.klog:core-tvosarm64;org.danbrough.klog;core-tvosarm64
org.danbrough.klog:core-mingwx64;org.danbrough.klog;core-mingwx64
org.danbrough.klog:core-macosx64;org.danbrough.klog;core-macosx64
org.danbrough.klog:core-macosarm64;org.danbrough.klog;core-macosarm64
org.danbrough.klog:core-linuxx64;org.danbrough.klog;core-linuxx64
org.danbrough.klog:core-linuxarm64;org.danbrough.klog;core-linuxarm64
com.oplus.instant:router;com.oplus.instant;router
org.danbrough.klog:core;org.danbrough.klog;core
org.danbrough.klog:core-jvm;org.danbrough.klog;core-jvm
org.danbrough.klog:core-js;org.danbrough.klog;core-js
org.danbrough.klog:core-iosx64;org.danbrough.klog;core-iosx64
org.danbrough.klog:core-iosarm64;org.danbrough.klog;core-iosarm64
org.danbrough.klog:core-android;org.danbrough.klog;core-android
org.danbrough.klog:core-androidnativex64;org.danbrough.klog;core-androidnativex64
org.danbrough.klog:core-androidnativearm64;org.danbrough.klog;core-androidnativearm64
org.danbrough.klog:core-androidnativearm32;org.danbrough.klog;core-androidnativearm32
io.github.zhugefe:android-gradle-plugin;io.github.zhugefe;android-gradle-plugin
cn.com.antcloud.api:antcloud-api-provider-testforjzq;cn.com.antcloud.api;antcloud-api-provider-testforjzq
com.github.vencent-lu:giants-common;com.github.vencent-lu;giants-common
io.github.dsheirer:usb4java-native-libraries;io.github.dsheirer;usb4java-native-libraries
org.ligoj.plugin:plugin-password;org.ligoj.plugin;plugin-password
org.ligoj.plugin:plugin-km-confluence;org.ligoj.plugin;plugin-km-confluence
org.webjars.npm:swagger-api__apidom-reference;org.webjars.npm;swagger-api__apidom-reference
org.webjars.npm:tslib;org.webjars.npm;tslib
org.apache.gravitino:filesystem-hadoop3;org.apache.gravitino;filesystem-hadoop3
org.apache.gravitino:catalog-jdbc-mysql;org.apache.gravitino;catalog-jdbc-mysql
org.apache.gravitino:client-java;org.apache.gravitino;client-java
org.apache.gravitino:api;org.apache.gravitino;api
org.ligoj.plugin:plugin-km;org.ligoj.plugin;plugin-km
org.apache.gravitino:integration-test;org.apache.gravitino;integration-test
org.apache.gravitino:integration-test-common;org.apache.gravitino;integration-test-common
org.apache.gravitino:catalog-kafka;org.apache.gravitino;catalog-kafka
org.apache.gravitino:server-common;org.apache.gravitino;server-common
org.apache.gravitino:catalog-jdbc-doris;org.apache.gravitino;catalog-jdbc-doris
org.webjars.npm:react-syntax-highlighter;org.webjars.npm;react-syntax-highlighter
org.apache.gravitino:catalog-hadoop;org.apache.gravitino;catalog-hadoop
org.apache.gravitino:iceberg-common;org.apache.gravitino;iceberg-common
org.apache.gravitino:gcp-bundle;org.apache.gravitino;gcp-bundle
org.apache.gravitino:meta;org.apache.gravitino;meta
org.apache.gravitino:server;org.apache.gravitino;server
org.apache.gravitino:iceberg-rest-server;org.apache.gravitino;iceberg-rest-server
org.apache.gravitino:client-java-runtime;org.apache.gravitino;client-java-runtime
org.apache.gravitino:catalog-jdbc-common;org.apache.gravitino;catalog-jdbc-common
org.apache.gravitino:common;org.apache.gravitino;common
com.mmorrell:magiceden;com.mmorrell;magiceden
com.mmorrell:phoenix;com.mmorrell;phoenix
com.mmorrell:openbook;com.mmorrell;openbook
org.apache.gravitino:catalog-hive;org.apache.gravitino;catalog-hive
com.mmorrell:metaplex;com.mmorrell;metaplex
com.mmorrell:bonfida;com.mmorrell;bonfida
com.mmorrell:mango;com.mmorrell;mango
com.mmorrell:jupiter;com.mmorrell;jupiter
org.webjars.npm:redux;org.webjars.npm;redux
com.mmorrell:pyth;com.mmorrell;pyth
com.mmorrell:solanaj-programs;com.mmorrell;solanaj-programs
com.mmorrell:serum;com.mmorrell;serum
org.apache.gravitino:aliyun-bundle;org.apache.gravitino;aliyun-bundle
org.apache.gravitino:catalog-lakehouse-hudi;org.apache.gravitino;catalog-lakehouse-hudi
org.apache.gravitino:spark-common;org.apache.gravitino;spark-common
org.apache.gravitino:core;org.apache.gravitino;core
org.apache.gravitino:catalog-jdbc-postgresql;org.apache.gravitino;catalog-jdbc-postgresql
org.apache.gravitino:catalog-lakehouse-paimon;org.apache.gravitino;catalog-lakehouse-paimon
org.apache.gravitino:hive-metastore-common;org.apache.gravitino;hive-metastore-common
org.apache.gravitino:authorization-ranger;org.apache.gravitino;authorization-ranger
org.apache.gravitino:trino-connector;org.apache.gravitino;trino-connector
org.apache.gravitino:filesystem-hadoop3-runtime;org.apache.gravitino;filesystem-hadoop3-runtime
org.apache.gravitino:aws-bundle;org.apache.gravitino;aws-bundle
org.apache.gravitino:catalog-common;org.apache.gravitino;catalog-common
org.apache.gravitino:catalog-jdbc-oceanbase;org.apache.gravitino;catalog-jdbc-oceanbase
org.apache.gravitino:catalog-lakehouse-iceberg;org.apache.gravitino;catalog-lakehouse-iceberg
org.webjars.npm:highlightjs-vue;org.webjars.npm;highlightjs-vue
org.dominokit:domino-jackson-processor;org.dominokit;domino-jackson-processor
org.dominokit:domino-jackson;org.dominokit;domino-jackson
org.dominokit:domino-jackson-parent;org.dominokit;domino-jackson-parent
jakarta.faces:jakarta.faces-api;jakarta.faces;jakarta.faces-api
com.basksoft:baskadapt;com.basksoft;baskadapt
com.huawei.dli:huaweicloud-dli-sdk-restapi;com.huawei.dli;huaweicloud-dli-sdk-restapi
com.github.skydoves:bindables;com.github.skydoves;bindables
com.simla.android.florent37:expansionpanel;com.simla.android.florent37;expansionpanel
com.aliyun:dcdn20180115;com.aliyun;dcdn20180115
com.aliyun:alibabacloud-dcdn20180115;com.aliyun;alibabacloud-dcdn20180115
org.noear:esearchx;org.noear;esearchx
org.scalatestplus:junit-5-11_3;org.scalatestplus;junit-5-11_3
org.scalatestplus:junit-5-11_2.13;org.scalatestplus;junit-5-11_2.13
org.scalatestplus:junit-5-11_2.12;org.scalatestplus;junit-5-11_2.12
org.scalatestplus:junit-5-11_2.11;org.scalatestplus;junit-5-11_2.11
com.formkiq:lambda-runtime-graalvm;com.formkiq;lambda-runtime-graalvm
org.mmbase:mmbase-clustering;org.mmbase;mmbase-clustering
org.mmbase:mmbase-streams;org.mmbase;mmbase-streams
org.mmbase:mmbase-crontab;org.mmbase;mmbase-crontab
org.mmbase:mmbase-jumpers;org.mmbase;mmbase-jumpers
org.mmbase:mmbase-media;org.mmbase;mmbase-media
org.mmbase:mmbase-editwizard;org.mmbase;mmbase-editwizard
org.mmbase:mmbase-taglib;org.mmbase;mmbase-taglib
org.mmbase:mmbase;org.mmbase;mmbase
org.mmbase:mmbase-applications;org.mmbase;mmbase-applications
org.mmbase:mmbase-application-parent;org.mmbase;mmbase-application-parent
org.webjars.npm:picomatch;org.webjars.npm;picomatch
com.palantir.cassandra:palantir-cassandra;com.palantir.cassandra;palantir-cassandra
com.palantir.cassandra:cassandra-all;com.palantir.cassandra;cassandra-all
com.palantir.cassandra:cassandra-thrift;com.palantir.cassandra;cassandra-thrift
com.palantir.cassandra:cassandra-clientutil;com.palantir.cassandra;cassandra-clientutil
com.palantir.cassandra:palantir-cassandra-jmx-api;com.palantir.cassandra;palantir-cassandra-jmx-api
com.palantir.cassandra:cassandra-all-bom;com.palantir.cassandra;cassandra-all-bom
org.jlab:jlog;org.jlab;jlog
com.hubspot.slimfast:slimfast-parent;com.hubspot.slimfast;slimfast-parent
com.hubspot.maven.plugins:slimfast-plugin;com.hubspot.maven.plugins;slimfast-plugin
com.hubspot.slimfast:slimfast-hadoop;com.hubspot.slimfast;slimfast-hadoop
com.marklogic:marklogic-xcc;com.marklogic;marklogic-xcc
com.marklogic:mlcp;com.marklogic;mlcp
com.liferay:com.liferay.gradle.plugins.jsdoc;com.liferay;com.liferay.gradle.plugins.jsdoc
dev.mongocamp:mongodb-driver_2.12;dev.mongocamp;mongodb-driver_2.12
io.deepmedia.tools:grease;io.deepmedia.tools;grease
io.deepmedia.tools.grease:io.deepmedia.tools.grease.gradle.plugin;io.deepmedia.tools.grease;io.deepmedia.tools.grease.gradle.plugin
org.webjars.npm:teamhanko__hanko-elements;org.webjars.npm;teamhanko__hanko-elements
org.webjars.npm:teamhanko__hanko-frontend-sdk;org.webjars.npm;teamhanko__hanko-frontend-sdk
org.webjars.npm:types__js-cookie;org.webjars.npm;types__js-cookie
com.brihaspathee.zeus:account-processor;com.brihaspathee.zeus;account-processor
org.eclipse.jetty.compression:jetty-compression-api;org.eclipse.jetty.compression;jetty-compression-api
io.newm:ktor-flyway-feature;io.newm;ktor-flyway-feature
org.webjars.npm:xterm__addon-unicode11;org.webjars.npm;xterm__addon-unicode11
org.webjars.npm:xterm__addon-fit;org.webjars.npm;xterm__addon-fit
com.gu:play-json-extensions_2.13.15;com.gu;play-json-extensions_2.13.15
com.gu:play-json-extensions_2.13.14;com.gu;play-json-extensions_2.13.14
org.reactivemongo:reactivemongo-scalafix_2.13;org.reactivemongo;reactivemongo-scalafix_2.13
org.reactivemongo:reactivemongo-scalafix_2.12;org.reactivemongo;reactivemongo-scalafix_2.12
ru.d10xa:json-log-viewer_2.12;ru.d10xa;json-log-viewer_2.12
ru.d10xa:json-log-viewer_3;ru.d10xa;json-log-viewer_3
org.webjars.npm:xterm__xterm;org.webjars.npm;xterm__xterm
com.astralanguage:astra-apis;com.astralanguage;astra-apis
com.astralanguage:astra-interpreter;com.astralanguage;astra-interpreter
com.astralanguage:astra-cartago-archetype;com.astralanguage;astra-cartago-archetype
com.astralanguage:astra-eis-0.7;com.astralanguage;astra-eis-0.7
com.astralanguage:astra-archetype;com.astralanguage;astra-archetype
com.astralanguage:astra-gui;com.astralanguage;astra-gui
com.astralanguage:astra-cartago;com.astralanguage;astra-cartago
com.astralanguage:astra-maven-plugin;com.astralanguage;astra-maven-plugin
com.astralanguage:astra-eis-0.7-base;com.astralanguage;astra-eis-0.7-base
com.astralanguage:astra-core;com.astralanguage;astra-core
com.astralanguage:astra-cartago-base;com.astralanguage;astra-cartago-base
com.astralanguage:astra-eis-0.5-base;com.astralanguage;astra-eis-0.5-base
com.astralanguage:astra-protocols;com.astralanguage;astra-protocols
com.astralanguage:astra-base;com.astralanguage;astra-base
com.astralanguage:astra-unittest;com.astralanguage;astra-unittest
com.astralanguage:astra-compiler;com.astralanguage;astra-compiler
com.astralanguage:astra-eis-0.5;com.astralanguage;astra-eis-0.5
net.kieker-monitoring:monitoring-spring;net.kieker-monitoring;monitoring-spring
nl.hiddewieringa:money-kotlin;nl.hiddewieringa;money-kotlin
net.kieker-monitoring:monitoring-disl;net.kieker-monitoring;monitoring-disl
net.kieker-monitoring:monitoring-core;net.kieker-monitoring;monitoring-core
net.kieker-monitoring:monitoring-aspectj;net.kieker-monitoring;monitoring-aspectj
net.kieker-monitoring:tools;net.kieker-monitoring;tools
net.kieker-monitoring:model;net.kieker-monitoring;model
net.kieker-monitoring:common;net.kieker-monitoring;common
net.kieker-monitoring:analysis;net.kieker-monitoring;analysis
name.seguri.java:springpom;name.seguri.java;springpom
net.kieker-monitoring:kieker;net.kieker-monitoring;kieker
org.jetbrains.kotlinx:kotlinx-browser-wasm-js;org.jetbrains.kotlinx;kotlinx-browser-wasm-js
org.jetbrains.kotlinx:kotlinx-browser;org.jetbrains.kotlinx;kotlinx-browser
eu.hoefel:chemistry;eu.hoefel;chemistry
eu.monniot:scala3mock_3;eu.monniot;scala3mock_3
eu.monniot:scala3mock-cats_3;eu.monniot;scala3mock-cats_3
eu.monniot:scala3mock-scalatest_3;eu.monniot;scala3mock-scalatest_3
ru.loolzaaa.tgbot4j:tgbot4j-parent;ru.loolzaaa.tgbot4j;tgbot4j-parent
ru.loolzaaa.tgbot4j:tgbot4j-core;ru.loolzaaa.tgbot4j;tgbot4j-core
ru.loolzaaa.tgbot4j:tgbot4j;ru.loolzaaa.tgbot4j;tgbot4j
org.scanamo:scanamo-zio_3;org.scanamo;scanamo-zio_3
org.scanamo:scanamo-pekko_3;org.scanamo;scanamo-pekko_3
org.webjars.npm:event-calendar__day-grid;org.webjars.npm;event-calendar__day-grid
org.webjars.npm:event-calendar__time-grid;org.webjars.npm;event-calendar__time-grid
org.webjars.npm:axobject-query;org.webjars.npm;axobject-query
com.clickhouse.spark:clickhouse-spark-runtime-3.3_2.12;com.clickhouse.spark;clickhouse-spark-runtime-3.3_2.12
com.clickhouse.spark:clickhouse-spark-runtime-3.3_2.13;com.clickhouse.spark;clickhouse-spark-runtime-3.3_2.13
com.clickhouse.spark:clickhouse-spark-runtime-3.4_2.13;com.clickhouse.spark;clickhouse-spark-runtime-3.4_2.13
com.clickhouse.spark:clickhouse-spark-runtime-3.4_2.12;com.clickhouse.spark;clickhouse-spark-runtime-3.4_2.12
com.clickhouse.spark:clickhouse-spark-runtime-3.5_2.13;com.clickhouse.spark;clickhouse-spark-runtime-3.5_2.13
com.clickhouse.spark:clickhouse-spark-runtime-3.5_2.12;com.clickhouse.spark;clickhouse-spark-runtime-3.5_2.12
org.webjars.npm:svelte;org.webjars.npm;svelte
org.webjars.npm:fullcalendar__premium-common;org.webjars.npm;fullcalendar__premium-common
org.webjars.npm:fullcalendar__scrollgrid;org.webjars.npm;fullcalendar__scrollgrid
it.fattureincloud:fattureincloud-java-sdk;it.fattureincloud;fattureincloud-java-sdk
io.github.jefshi:lib-log-android;io.github.jefshi;lib-log-android
org.eclipse.apoapsis.ortserver.transport:kubernetes-jobmonitor;org.eclipse.apoapsis.ortserver.transport;kubernetes-jobmonitor
com.github.boylong12:dlock-spring-boot-starter;com.github.boylong12;dlock-spring-boot-starter
com.redhat.devtools.intellij:intellij-common-ui-test-library;com.redhat.devtools.intellij;intellij-common-ui-test-library
io.kevinlee:hedgehog-extra-refined_2.12;io.kevinlee;hedgehog-extra-refined_2.12
io.kevinlee:hedgehog-extra-refined_3;io.kevinlee;hedgehog-extra-refined_3
io.kevinlee:hedgehog-extra-refined_sjs1_2.13;io.kevinlee;hedgehog-extra-refined_sjs1_2.13
io.kevinlee:hedgehog-extra-core_2.13;io.kevinlee;hedgehog-extra-core_2.13
io.kevinlee:hedgehog-extra-core_sjs1_2.12;io.kevinlee;hedgehog-extra-core_sjs1_2.12
io.kevinlee:hedgehog-extra-refined_sjs1_3;io.kevinlee;hedgehog-extra-refined_sjs1_3
io.kevinlee:hedgehog-extra-core_2.12;io.kevinlee;hedgehog-extra-core_2.12
io.kevinlee:hedgehog-extra-core_sjs1_3;io.kevinlee;hedgehog-extra-core_sjs1_3
io.kevinlee:hedgehog-extra-refined4s_sjs1_3;io.kevinlee;hedgehog-extra-refined4s_sjs1_3
io.kevinlee:hedgehog-extra-core_sjs1_2.13;io.kevinlee;hedgehog-extra-core_sjs1_2.13
io.kevinlee:hedgehog-extra-refined4s_3;io.kevinlee;hedgehog-extra-refined4s_3
io.kevinlee:hedgehog-extra-core_3;io.kevinlee;hedgehog-extra-core_3
io.kevinlee:hedgehog-extra-refined_2.13;io.kevinlee;hedgehog-extra-refined_2.13
io.kevinlee:hedgehog-extra-refined_sjs1_2.12;io.kevinlee;hedgehog-extra-refined_sjs1_2.12
org.sonatype.nexus:nexus-components;org.sonatype.nexus;nexus-components
org.sonatype.nexus:nexus-core;org.sonatype.nexus;nexus-core
org.sonatype.nexus:nexus-oss-edition;org.sonatype.nexus;nexus-oss-edition
org.sonatype.nexus:nexus-plugin-api;org.sonatype.nexus;nexus-plugin-api
org.sonatype.nexus:nexus-security;org.sonatype.nexus;nexus-security
org.sonatype.nexus:nexus-test-common;org.sonatype.nexus;nexus-test-common
org.sonatype.nexus:nexus-testsupport;org.sonatype.nexus;nexus-testsupport
org.sonatype.nexus.assemblies:nexus-assemblies;org.sonatype.nexus.assemblies;nexus-assemblies
org.sonatype.nexus.buildsupport:nexus-buildsupport;org.sonatype.nexus.buildsupport;nexus-buildsupport
org.sonatype.nexus.buildsupport:nexus-buildsupport-all;org.sonatype.nexus.buildsupport;nexus-buildsupport-all
org.sonatype.nexus.buildsupport:nexus-buildsupport-commons;org.sonatype.nexus.buildsupport;nexus-buildsupport-commons
org.sonatype.nexus.buildsupport:nexus-buildsupport-db;org.sonatype.nexus.buildsupport;nexus-buildsupport-db
org.sonatype.nexus.buildsupport:nexus-buildsupport-goodies;org.sonatype.nexus.buildsupport;nexus-buildsupport-goodies
org.sonatype.nexus.buildsupport:nexus-buildsupport-groovy;org.sonatype.nexus.buildsupport;nexus-buildsupport-groovy
org.sonatype.nexus.buildsupport:nexus-buildsupport-guice;org.sonatype.nexus.buildsupport;nexus-buildsupport-guice
org.sonatype.nexus.buildsupport:nexus-buildsupport-httpclient;org.sonatype.nexus.buildsupport;nexus-buildsupport-httpclient
org.sonatype.nexus.buildsupport:nexus-buildsupport-jetty;org.sonatype.nexus.buildsupport;nexus-buildsupport-jetty
org.sonatype.nexus.buildsupport:nexus-buildsupport-logging;org.sonatype.nexus.buildsupport;nexus-buildsupport-logging
org.sonatype.nexus.buildsupport:nexus-buildsupport-metrics;org.sonatype.nexus.buildsupport;nexus-buildsupport-metrics
org.sonatype.nexus.buildsupport:nexus-buildsupport-osgi;org.sonatype.nexus.buildsupport;nexus-buildsupport-osgi
org.sonatype.nexus.buildsupport:nexus-buildsupport-other;org.sonatype.nexus.buildsupport;nexus-buildsupport-other
org.sonatype.nexus.buildsupport:nexus-buildsupport-rest;org.sonatype.nexus.buildsupport;nexus-buildsupport-rest
org.sonatype.nexus.buildsupport:nexus-buildsupport-testing;org.sonatype.nexus.buildsupport;nexus-buildsupport-testing
org.sonatype.nexus.plugins:nexus-plugins;org.sonatype.nexus.plugins;nexus-plugins
org.sonatype.nexus.testsuite:nexus-testsuite;org.sonatype.nexus.testsuite;nexus-testsuite
org.sonatype.nexus:nexus-bootstrap;org.sonatype.nexus;nexus-bootstrap
org.sonatype.nexus.buildsupport:nexus-buildsupport-maven;org.sonatype.nexus.buildsupport;nexus-buildsupport-maven
com.aliyun:aliyun-java-sdk-fnf;com.aliyun;aliyun-java-sdk-fnf
io.gitlab.casperix:audio-wasm-js;io.gitlab.casperix;audio-wasm-js
io.gitlab.casperix:audio;io.gitlab.casperix;audio
io.gitlab.casperix:audio-jvm;io.gitlab.casperix;audio-jvm
io.gitlab.casperix:audio-js;io.gitlab.casperix;audio-js
io.github.lxgaming:reconstruct-common;io.github.lxgaming;reconstruct-common
io.github.lxgaming:reconstruct-cli;io.github.lxgaming;reconstruct-cli
org.fugerit.java:query-export-tool;org.fugerit.java;query-export-tool
io.gitlab.casperix:simple-console-wasm-js;io.gitlab.casperix;simple-console-wasm-js
io.gitlab.casperix:simple-console;io.gitlab.casperix;simple-console
io.gitlab.casperix:simple-console-jvm;io.gitlab.casperix;simple-console-jvm
io.gitlab.casperix:simple-console-js;io.gitlab.casperix;simple-console-js
com.krrishg:kimage;com.krrishg;kimage
fr.vidal.oss:atom-jaxb-benchmark;fr.vidal.oss;atom-jaxb-benchmark
fr.vidal.oss:atom-jaxb-parent;fr.vidal.oss;atom-jaxb-parent
fr.vidal.oss:atom-jaxb;fr.vidal.oss;atom-jaxb
ch.postfinance:postfinancecheckout-java-sdk;ch.postfinance;postfinancecheckout-java-sdk
tech.dojo.pay:uisdk;tech.dojo.pay;uisdk
io.kojan:kojan-workflow;io.kojan;kojan-workflow
com.blazebit:blaze-query-examples-app;com.blazebit;blaze-query-examples-app
com.blazebit:blaze-query-examples;com.blazebit;blaze-query-examples
com.blazebit:blaze-query-documentation;com.blazebit;blaze-query-documentation
com.blazebit:blaze-query-connector-kandji;com.blazebit;blaze-query-connector-kandji
com.github.grooviter:gql-ratpack;com.github.grooviter;gql-ratpack
com.github.grooviter:gql-core;com.github.grooviter;gql-core
com.blazebit:blaze-query-connector-github-openapi;com.blazebit;blaze-query-connector-github-openapi
com.blazebit:blaze-query-connector-aws;com.blazebit;blaze-query-connector-aws
com.blazebit:blaze-query-connector-azure;com.blazebit;blaze-query-connector-azure
com.blazebit:blaze-query-connector;com.blazebit;blaze-query-connector
com.blazebit:blaze-query-core;com.blazebit;blaze-query-core
com.blazebit:blaze-query-parent;com.blazebit;blaze-query-parent
com.blazebit:blaze-query-checkstyle-rules;com.blazebit;blaze-query-checkstyle-rules
com.blazebit:blaze-query;com.blazebit;blaze-query
cn.buli-home:MustardTools;cn.buli-home;MustardTools
com.powsybl:open-rao-result-exporter;com.powsybl;open-rao-result-exporter
se.laz.casual:casual-http-app;se.laz.casual;casual-http-app
com.ajaxjs:aj-common-parent;com.ajaxjs;aj-common-parent
com.antgroup.antchain.openapi:openapi-demositdevsy;com.antgroup.antchain.openapi;openapi-demositdevsy
org.eclipse.tractusx.edc:tx-iatp-sts-dim;org.eclipse.tractusx.edc;tx-iatp-sts-dim
org.eclipse.tractusx.edc:tx-iatp;org.eclipse.tractusx.edc;tx-iatp
org.eclipse.tractusx.edc:pipeline-service;org.eclipse.tractusx.edc;pipeline-service
org.eclipse.tractusx.edc:dataplane-self-registration;org.eclipse.tractusx.edc;dataplane-self-registration
com.samares-engineering.omf.2022x_Refresh2:omf-utils;com.samares-engineering.omf.2022x_Refresh2;omf-utils
org.eclipse.tractusx.edc:transfer-dataplane-signaling;org.eclipse.tractusx.edc;transfer-dataplane-signaling
com.samares-engineering.omf.2022x_Refresh2:omf-test-framework;com.samares-engineering.omf.2022x_Refresh2;omf-test-framework
org.eclipse.tractusx.edc:dataset-bugfix;org.eclipse.tractusx.edc;dataset-bugfix
com.samares-engineering.omf.2022x_Refresh2:omf-public-features;com.samares-engineering.omf.2022x_Refresh2;omf-public-features
com.samares-engineering.omf.2022x_Refresh2:omf-example-plugin;com.samares-engineering.omf.2022x_Refresh2;omf-example-plugin
com.samares-engineering.omf.2022x_Refresh2:omf-core-framework;com.samares-engineering.omf.2022x_Refresh2;omf-core-framework
org.openmuc.framework:openmuc-webui-userconfigurator;org.openmuc.framework;openmuc-webui-userconfigurator
org.openmuc.framework:openmuc-webui-spi;org.openmuc.framework;openmuc-webui-spi
org.openmuc.framework:openmuc-webui-simpledemovisualisation;org.openmuc.framework;openmuc-webui-simpledemovisualisation
org.openmuc.framework:openmuc-webui-mediaviewer;org.openmuc.framework;openmuc-webui-mediaviewer
org.openmuc.framework:openmuc-webui-dataplotter;org.openmuc.framework;openmuc-webui-dataplotter
org.openmuc.framework:openmuc-webui-dataexporter;org.openmuc.framework;openmuc-webui-dataexporter
org.openmuc.framework:openmuc-webui-channelconfigurator;org.openmuc.framework;openmuc-webui-channelconfigurator
org.openmuc.framework:openmuc-webui-channelaccesstool;org.openmuc.framework;openmuc-webui-channelaccesstool
org.openmuc.framework:openmuc-webui-base;org.openmuc.framework;openmuc-webui-base
org.openmuc.framework:openmuc-server-restws;org.openmuc.framework;openmuc-server-restws
org.openmuc.framework:openmuc-server-modbus;org.openmuc.framework;openmuc-server-modbus
org.openmuc.framework:openmuc-server-iec61850;org.openmuc.framework;openmuc-server-iec61850
org.openmuc.framework:openmuc-lib-ssl;org.openmuc.framework;openmuc-lib-ssl
org.openmuc.framework:openmuc-lib-rest1;org.openmuc.framework;openmuc-lib-rest1
org.openmuc.framework:openmuc-lib-parser-openmuc;org.openmuc.framework;openmuc-lib-parser-openmuc
org.openmuc.framework:openmuc-lib-osgi;org.openmuc.framework;openmuc-lib-osgi
org.openmuc.framework:openmuc-lib-mqtt;org.openmuc.framework;openmuc-lib-mqtt
org.openmuc.framework:openmuc-lib-filePersistence;org.openmuc.framework;openmuc-lib-filePersistence
org.openmuc.framework:openmuc-lib-amqp;org.openmuc.framework;openmuc-lib-amqp
org.openmuc.framework:openmuc-driver-wmbus;org.openmuc.framework;openmuc-driver-wmbus
org.openmuc.framework:openmuc-driver-snmp;org.openmuc.framework;openmuc-driver-snmp
org.openmuc.framework:openmuc-driver-rest;org.openmuc.framework;openmuc-driver-rest
cn.com.antcloud.api:antcloud-api-provider-shiyitestapp;cn.com.antcloud.api;antcloud-api-provider-shiyitestapp
