net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
io.devbench.uibuilder.components:components-all;io.devbench.uibuilder.components;components-all
site.sorghum.anno:anno-admin-solon-starter;site.sorghum.anno;anno-admin-solon-starter
io.devbench.uibuilder.components:uibuilder-multi-value;io.devbench.uibuilder.components;uibuilder-multi-value
io.devbench.uibuilder.components:uibuilder-grid;io.devbench.uibuilder.components;uibuilder-grid
io.devbench.uibuilder.core:uibuilder-theme;io.devbench.uibuilder.core;uibuilder-theme
site.sorghum.anno:anno-admin-spring-boot-starter;site.sorghum.anno;anno-admin-spring-boot-starter
io.devbench.uibuilder.data:uibuilder-data-filtering-test-ebean;io.devbench.uibuilder.data;uibuilder-data-filtering-test-ebean
site.sorghum.anno:anno-admin-excel;site.sorghum.anno;anno-admin-excel
io.devbench.uibuilder.i18n:i18n-core;io.devbench.uibuilder.i18n;i18n-core
io.devbench.uibuilder.context-management:uibuilder-springboot;io.devbench.uibuilder.context-management;uibuilder-springboot
io.devbench.uibuilder.components.util:data-source;io.devbench.uibuilder.components.util;data-source
io.devbench.uibuilder:context-management;io.devbench.uibuilder;context-management
io.devbench.uibuilder.components:uibuilder-login-panel;io.devbench.uibuilder.components;uibuilder-login-panel
io.devbench.uibuilder.data:uibuilder-data;io.devbench.uibuilder.data;uibuilder-data
io.devbench.uibuilder.security:uibuilder-security-spring;io.devbench.uibuilder.security;uibuilder-security-spring
io.devbench.uibuilder.data:uibuilder-data-ebean-filtering;io.devbench.uibuilder.data;uibuilder-data-ebean-filtering
io.devbench.uibuilder.core:uibuilder-api;io.devbench.uibuilder.core;uibuilder-api
io.devbench.uibuilder:components;io.devbench.uibuilder;components
io.devbench.uibuilder.components.util:z-index-manager;io.devbench.uibuilder.components.util;z-index-manager
io.devbench.uibuilder.core.theme:uibuilder-component-theme-variants;io.devbench.uibuilder.core.theme;uibuilder-component-theme-variants
io.devbench.uibuilder.i18n:test-tools;io.devbench.uibuilder.i18n;test-tools
io.devbench.uibuilder.components:uibuilder-listbox;io.devbench.uibuilder.components;uibuilder-listbox
io.devbench.uibuilder.components:confirm-dialog;io.devbench.uibuilder.components;confirm-dialog
io.devbench:uibuilder-bom;io.devbench;uibuilder-bom
io.devbench.uibuilder.components:util;io.devbench.uibuilder.components;util
io.devbench.uibuilder.i18n.plugin:plugin-core;io.devbench.uibuilder.i18n.plugin;plugin-core
io.devbench.uibuilder.data:uibuilder-data-common;io.devbench.uibuilder.data;uibuilder-data-common
io.devbench.uibuilder.components:uibuilder-common-filter;io.devbench.uibuilder.components;uibuilder-common-filter
io.devbench.uibuilder.components.util:common;io.devbench.uibuilder.components.util;common
io.devbench.uibuilder.data:uibuilder-data-filtering-test-jpa;io.devbench.uibuilder.data;uibuilder-data-filtering-test-jpa
io.devbench.uibuilder.core:uibuilder-vaadin-starter;io.devbench.uibuilder.core;uibuilder-vaadin-starter
io.devbench.uibuilder.components:uibuilder-editor-window;io.devbench.uibuilder.components;uibuilder-editor-window
io.devbench.uibuilder:core;io.devbench.uibuilder;core
io.devbench.uibuilder:data;io.devbench.uibuilder;data
io.devbench.uibuilder.components:uibuilder-hideable-layout;io.devbench.uibuilder.components;uibuilder-hideable-layout
io.devbench:uibuilder;io.devbench;uibuilder
io.devbench.uibuilder:i18n;io.devbench.uibuilder;i18n
