com.exactpro.th2:grpc-sim-template;com.exactpro.th2;grpc-sim-template
de.iip-ecosphere.platform:transport.spring.hivemqv3;de.iip-ecosphere.platform;transport.spring.hivemqv3
de.iip-ecosphere.platform:transport.spring.amqp;de.iip-ecosphere.platform;transport.spring.amqp
de.iip-ecosphere.platform:transport.spring;de.iip-ecosphere.platform;transport.spring
de.iip-ecosphere.platform:transport.mqttv5;de.iip-ecosphere.platform;transport.mqttv5
de.iip-ecosphere.platform:transport.mqttv3;de.iip-ecosphere.platform;transport.mqttv3
de.iip-ecosphere.platform:transport.amqp;de.iip-ecosphere.platform;transport.amqp
de.iip-ecosphere.platform:transport;de.iip-ecosphere.platform;transport
de.iip-ecosphere.platform:test.simpleStream.spring;de.iip-ecosphere.platform;test.simpleStream.spring
de.iip-ecosphere.platform:test.amqp.qpid;de.iip-ecosphere.platform;test.amqp.qpid
de.iip-ecosphere.platform:support.semanticId.eclass;de.iip-ecosphere.platform;support.semanticId.eclass
de.iip-ecosphere.platform:support.metrics.plcNext;de.iip-ecosphere.platform;support.metrics.plcNext
de.iip-ecosphere.platform:support.metrics.bitmotec;de.iip-ecosphere.platform;support.metrics.bitmotec
de.iip-ecosphere.platform:support.iip-aas;de.iip-ecosphere.platform;support.iip-aas
de.iip-ecosphere.platform:support.dfltSysMetrics;de.iip-ecosphere.platform;support.dfltSysMetrics
de.iip-ecosphere.platform:support.aas.basyx.server;de.iip-ecosphere.platform;support.aas.basyx.server
de.iip-ecosphere.platform:support.aas.basyx;de.iip-ecosphere.platform;support.aas.basyx
de.iip-ecosphere.platform:support.aas;de.iip-ecosphere.platform;support.aas
de.iip-ecosphere.platform:support;de.iip-ecosphere.platform;support
de.iip-ecosphere.platform:services.spring;de.iip-ecosphere.platform;services.spring
de.iip-ecosphere.platform:services.environment.spring;de.iip-ecosphere.platform;services.environment.spring
de.iip-ecosphere.platform:services.environment;de.iip-ecosphere.platform;services.environment
de.iip-ecosphere.platform:services;de.iip-ecosphere.platform;services
de.iip-ecosphere.platform:security.services.kodex;de.iip-ecosphere.platform;security.services.kodex
de.iip-ecosphere.platform:platform;de.iip-ecosphere.platform;platform
de.iip-ecosphere.platform:monitoring.prometheus;de.iip-ecosphere.platform;monitoring.prometheus
de.iip-ecosphere.platform:monitoring;de.iip-ecosphere.platform;monitoring
de.iip-ecosphere.platform:maven-python;de.iip-ecosphere.platform;maven-python
de.iip-ecosphere.platform:managementUi;de.iip-ecosphere.platform;managementUi
de.iip-ecosphere.platform:libs.ads;de.iip-ecosphere.platform;libs.ads
de.iip-ecosphere.platform:kiServices.rapidminer.rtsaFake;de.iip-ecosphere.platform;kiServices.rapidminer.rtsaFake
de.iip-ecosphere.platform:kiServices.rapidminer.rtsa;de.iip-ecosphere.platform;kiServices.rapidminer.rtsa
de.iip-ecosphere.platform:kiServices.functions;de.iip-ecosphere.platform;kiServices.functions
de.iip-ecosphere.platform:invoker-plugin;de.iip-ecosphere.platform;invoker-plugin
de.iip-ecosphere.platform:ecsRuntime.lxc;de.iip-ecosphere.platform;ecsRuntime.lxc
de.iip-ecosphere.platform:ecsRuntime.docker;de.iip-ecosphere.platform;ecsRuntime.docker
de.iip-ecosphere.platform:ecsRuntime;de.iip-ecosphere.platform;ecsRuntime
de.iip-ecosphere.platform:deviceMgt.thingsboard;de.iip-ecosphere.platform;deviceMgt.thingsboard
