com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
com.cognitect.aws:apptest;com.cognitect.aws;apptest
com.cognitect.aws:cloudfront-keyvaluestore;com.cognitect.aws;cloudfront-keyvaluestore
com.cognitect.aws:acm;com.cognitect.aws;acm
com.cognitect.aws:geo-places;com.cognitect.aws;geo-places
com.cognitect.aws:marketplace-deployment;com.cognitect.aws;marketplace-deployment
com.cognitect.aws:pinpoint-sms-voice-v2;com.cognitect.aws;pinpoint-sms-voice-v2
com.cognitect.aws:mediastore-data;com.cognitect.aws;mediastore-data
com.cognitect.aws:rbin;com.cognitect.aws;rbin
org.jetbrains.lets-plot:deprecated-in-v4;org.jetbrains.lets-plot;deprecated-in-v4
com.cognitect.aws:socialmessaging;com.cognitect.aws;socialmessaging
com.cognitect.aws:swf;com.cognitect.aws;swf
com.cognitect.aws:codeartifact;com.cognitect.aws;codeartifact
com.cognitect.aws:networkmonitor;com.cognitect.aws;networkmonitor
com.cognitect.aws:qldb;com.cognitect.aws;qldb
com.cognitect.aws:lambda;com.cognitect.aws;lambda
com.cognitect.aws:inspector2;com.cognitect.aws;inspector2
com.cognitect.aws:guardduty;com.cognitect.aws;guardduty
org.jetbrains.lets-plot:deprecated-in-v4-jvm;org.jetbrains.lets-plot;deprecated-in-v4-jvm
com.cognitect.aws:qldb-session;com.cognitect.aws;qldb-session
com.cognitect.aws:chime;com.cognitect.aws;chime
com.cognitect.aws:inspector;com.cognitect.aws;inspector
com.cognitect.aws:iotanalytics;com.cognitect.aws;iotanalytics
org.jetbrains.lets-plot:deprecated-in-v4-js;org.jetbrains.lets-plot;deprecated-in-v4-js
com.cognitect.aws:cloudhsm;com.cognitect.aws;cloudhsm
com.cognitect.aws:schemas;com.cognitect.aws;schemas
com.cognitect.aws:lakeformation;com.cognitect.aws;lakeformation
com.cognitect.aws:chime-sdk-meetings;com.cognitect.aws;chime-sdk-meetings
com.cognitect.aws:chatbot;com.cognitect.aws;chatbot
com.cognitect.aws:cognito-identity;com.cognitect.aws;cognito-identity
com.cognitect.aws:apigatewaymanagementapi;com.cognitect.aws;apigatewaymanagementapi
com.cognitect.aws:rekognition;com.cognitect.aws;rekognition
com.cognitect.aws:grafana;com.cognitect.aws;grafana
com.cognitect.aws:runtime-lex-v2;com.cognitect.aws;runtime-lex-v2
com.cognitect.aws:directory-service-data;com.cognitect.aws;directory-service-data
com.cognitect.aws:codedeploy;com.cognitect.aws;codedeploy
com.cognitect.aws:devops-guru;com.cognitect.aws;devops-guru
com.cognitect.aws:service-quotas;com.cognitect.aws;service-quotas
com.cognitect.aws:pca-connector-ad;com.cognitect.aws;pca-connector-ad
com.cognitect.aws:license-manager-linux-subscriptions;com.cognitect.aws;license-manager-linux-subscriptions
com.cognitect.aws:iot-jobs-data;com.cognitect.aws;iot-jobs-data
com.cognitect.aws:personalize-events;com.cognitect.aws;personalize-events
com.cognitect.aws:rolesanywhere;com.cognitect.aws;rolesanywhere
com.cognitect.aws:pcs;com.cognitect.aws;pcs
com.cognitect.aws:networkmanager;com.cognitect.aws;networkmanager
com.cognitect.aws:servicecatalog;com.cognitect.aws;servicecatalog
com.cognitect.aws:appconfig;com.cognitect.aws;appconfig
com.cognitect.aws:elasticloadbalancing;com.cognitect.aws;elasticloadbalancing
com.cognitect.aws:glacier;com.cognitect.aws;glacier
com.cognitect.aws:kafka;com.cognitect.aws;kafka
com.cognitect.aws:application-insights;com.cognitect.aws;application-insights
com.cognitect.aws:waf-regional;com.cognitect.aws;waf-regional
com.cognitect.aws:marketplace-catalog;com.cognitect.aws;marketplace-catalog
com.cognitect.aws:resource-explorer-2;com.cognitect.aws;resource-explorer-2
com.cognitect.aws:managedblockchain-query;com.cognitect.aws;managedblockchain-query
com.cognitect.aws:cloudsearchdomain;com.cognitect.aws;cloudsearchdomain
com.cognitect.aws:AWS242AppRegistry;com.cognitect.aws;AWS242AppRegistry
com.cognitect.aws:shield;com.cognitect.aws;shield
com.cognitect.aws:textract;com.cognitect.aws;textract
com.cognitect.aws:opsworkscm;com.cognitect.aws;opsworkscm
com.cognitect.aws:elasticfilesystem;com.cognitect.aws;elasticfilesystem
com.cognitect.aws:bcm-data-exports;com.cognitect.aws;bcm-data-exports
com.cognitect.aws:chime-sdk-identity;com.cognitect.aws;chime-sdk-identity
com.cognitect.aws:groundstation;com.cognitect.aws;groundstation
com.cognitect.aws:sso;com.cognitect.aws;sso
com.cognitect.aws:kinesis-video-webrtc-storage;com.cognitect.aws;kinesis-video-webrtc-storage
com.cognitect.aws:personalize;com.cognitect.aws;personalize
com.cognitect.aws:tnb;com.cognitect.aws;tnb
com.cognitect.aws:es;com.cognitect.aws;es
com.cognitect.aws:migrationhubstrategy;com.cognitect.aws;migrationhubstrategy
com.cognitect.aws:kinesis-video-signaling;com.cognitect.aws;kinesis-video-signaling
com.cognitect.aws:mediapackagev2;com.cognitect.aws;mediapackagev2
com.cognitect.aws:docdb-elastic;com.cognitect.aws;docdb-elastic
com.cognitect.aws:opsworks;com.cognitect.aws;opsworks
com.cognitect.aws:elasticache;com.cognitect.aws;elasticache
com.cognitect.aws:dataexchange;com.cognitect.aws;dataexchange
com.cognitect.aws:observabilityadmin;com.cognitect.aws;observabilityadmin
com.cognitect.aws:databrew;com.cognitect.aws;databrew
com.cognitect.aws:apprunner;com.cognitect.aws;apprunner
com.cognitect.aws:events;com.cognitect.aws;events
com.cognitect.aws:support;com.cognitect.aws;support
com.cognitect.aws:directconnect;com.cognitect.aws;directconnect
com.cognitect.aws:braket;com.cognitect.aws;braket
com.cognitect.aws:codestar-connections;com.cognitect.aws;codestar-connections
com.cognitect.aws:clouddirectory;com.cognitect.aws;clouddirectory
com.cognitect.aws:support-app;com.cognitect.aws;support-app
com.cognitect.aws:medical-imaging;com.cognitect.aws;medical-imaging
com.cognitect.aws:voice-id;com.cognitect.aws;voice-id
com.cognitect.aws:ivs-realtime;com.cognitect.aws;ivs-realtime
com.cognitect.aws:application-signals;com.cognitect.aws;application-signals
